PromotionProductID,PromotionID,ProductID,RowHash
1bcda109-9d8e-4aca-af64-e410e8a2d507,ced4ebab-da46-4e3f-8218-1023f4cb5909,24e5871b-7413-464e-9e39-28c555874874,d21faf958e86fb97c37870035f2d1336
c53f9e9b-9d31-49e2-9157-2d90f6f522d8,43f15b48-99e4-42e0-a087-20502351b9a9,c97c4957-1aab-4f74-9284-def5d2a0ae0e,2e22b2dba890a7fc4d20b63aa89af638
a2dee3f7-e954-4253-962b-f61b4c53897b,020b679a-f6e6-4bd3-82b4-6c494894cf63,32133537-346e-4657-9fb2-5dd62ca0d890,0d5fd36111d314f2e38387578b7b586a
eca9320f-2434-4efb-b75b-3bf73cfb74e6,d83a0fa3-65fe-4707-bc5f-7e425590a75a,8156b7e7-ddba-4dc8-9acb-944138ce5ebc,6f11f0f39677ea04c080b252eb279313
2b8ba0da-f1d0-4d31-8c9b-e9fc1ab3fb6e,020b679a-f6e6-4bd3-82b4-6c494894cf63,7b9e194e-a0d6-43e3-bc90-d6564236f635,4f91ef05a1b8c7f48a2792d8361153fd
b1135c49-9a24-4dc8-939a-dc3c075a74ef,4ced16ab-3d56-41a8-a7b3-33fe48a4cabf,7ddb7147-cff4-412e-9442-044f17f9ea0c,496b7642cec3b3c5991722eabf1f218f
845a89d4-13de-4276-8ef0-c2c53e20601d,020b679a-f6e6-4bd3-82b4-6c494894cf63,8a82854b-3d29-4cbe-895a-b1e8655a4a68,0657204ab7d96ce83692e057362e3a17
c3876ea0-9bca-4074-b965-c542f55a615f,0c73bd7a-b9e8-4ac1-bbda-275a8b892745,82ea7336-4ec5-4fd3-a642-0ca9c97850c5,063f4cd344e9ffab5aca0c42a0ad8cc4
e323e545-e765-4d34-84ac-69f7efe34e7c,96ef03b7-6535-44b5-8ae1-33cb1c47d686,d29ade71-ed54-4e78-8cc4-cde9726d73f3,bf2bb57d155ca4b94fc71ef5f1029965
458b3243-c172-48ae-8833-3374bf0edd93,43f15b48-99e4-42e0-a087-20502351b9a9,9c44a4d8-a63d-4791-845c-ab20569983cf,836eafe905927bf7e6bf86430e8ffe05
