InventoryID,StoreID,ProductID,Quantity,LastUpdated,RowHash
INV00000,d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,4217,902,2025-05-06 13:52:12,257fa2e58b4ed195c92d58b70bf75a1b
INV00001,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,4433,563,2025-05-03 01:06:38,1fa3bc443782fcd9d5ce43bb2e0a86e2
INV00002,c8a6eaf0-cf95-4b23-9b68-cf0190892dda,2669,79,2025-05-04 06:53:23,6dc1ff072db4c6f1c56ba8c615a5e184
INV00003,cacf17b4-cc76-4a81-a2a1-99b245d85f9e,3917,639,2025-05-05 05:26:13,2ef582177d13302f83e89af2369866f2
INV00004,68a7d329-0366-49ce-986b-f2741f43d010,707,540,2025-05-05 09:14:49,5963727b3c39c68e259b4a830934aca2
INV00005,066320f6-15d5-4240-b39a-1d9697acf693,3372,728,2025-05-01 18:39:05,026ad5aa2e1122f341fffbcefbcc2284
INV00006,3c32b582-67e5-49c3-affc-7e44572ba0ae,4925,395,2025-05-11 12:24:28,78493dd960955ee26ad0ade7f70e5e2d
INV00007,1424c333-ef79-42af-bcf5-5d41521a0e9b,2873,412,2025-05-01 23:54:22,03c94acbf799bae930fe6607fedc081e
INV00008,e65aca15-c7da-4cf0-8f86-97057eb6e41d,3395,586,2025-05-10 12:07:16,364f735321b557d2045120978ed569fb
INV00009,d44227f2-ae3a-4cf8-9728-df324b9ca0e4,3543,935,2025-05-06 09:28:18,dd4febb06bf12f985353b0b891b92b30
INV00010,68a7d329-0366-49ce-986b-f2741f43d010,2674,334,2025-05-04 16:05:55,8ed57423eca261f91bdafafd480fc983
INV00011,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,773,991,2025-05-12 00:51:05,0162191882bedf341cbf45b515ac32c4
INV00012,9baedba2-7d8f-482a-91c0-53cf8f987158,1340,467,2025-05-10 06:03:51,706ce7ee9ebcc6ca6d6b30412c79964a
INV00013,bc2a6082-d587-43ad-b368-78b70dcb5f55,2707,949,2025-05-02 20:53:13,a28925feb78dcd50c141df2c885de687
INV00014,128c966a-64f4-456d-9fd0-3d628c9d517a,1598,566,2025-05-01 05:19:15,0bccb647ff5fc09ceadb22e91eb2e973
INV00015,21a2cafc-d878-40bb-a232-e14e9eda02f3,3281,423,2025-05-03 07:40:50,2b513396cb92f648c8e6f8e0c923b222
INV00016,cacf17b4-cc76-4a81-a2a1-99b245d85f9e,2899,656,2025-05-07 14:10:41,2f8d237833df35ea9995c0cbf0cef602
INV00017,9074b54f-8c90-47bd-8850-d5995b99dfd6,919,187,2025-05-09 12:33:55,57bce53d768afcde36023f4f043f228a
INV00018,bc2a6082-d587-43ad-b368-78b70dcb5f55,4843,648,2025-05-04 04:04:35,ec7121332a5d3d8afa1b55cea8b214f3
INV00019,0481f8c0-ef1b-42c1-b53f-512d8d8db267,2633,429,2025-05-04 02:58:48,7f589174296b44211f6a66a045768283
INV00020,0db94890-c654-49b6-b76e-e535bc387855,4567,814,2025-05-07 22:49:28,0b54a98118c6fcff4c11c3a322ee4bac
INV00021,50a26c10-fd86-4364-8549-75c2f73d6e74,346,393,2025-05-04 16:01:27,24ce42427459268009327f51ad9dcc9b
INV00022,dea48fdc-5533-48f4-9d69-3e89b5fa379e,2683,195,2025-05-05 14:02:21,c74285aa749ac48d58e4906961beb7c4
INV00023,a412573c-b3f6-4108-9682-f95775c56a2b,2299,895,2025-05-03 23:40:52,b97c699065b19f85b593471ca6232344
INV00024,d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,1977,733,2025-05-08 07:11:49,5b118888aa6c7a75042b96e21ca877da
INV00025,066320f6-15d5-4240-b39a-1d9697acf693,3046,972,2025-05-03 05:21:55,6f98b7dc4b834318c82889ad29a5a94a
INV00026,0db94890-c654-49b6-b76e-e535bc387855,1588,751,2025-05-08 15:46:57,168e4ad553b02a5ba4c7437858b98360
INV00027,6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,3547,571,2025-05-09 04:35:26,79c451b41d9d123ab28a49b89bdc3061
INV00028,035dca7b-d212-4a49-8f9f-3bd9aa44f0e6,3515,369,2025-05-06 10:39:52,d90d36f975b2591ba41d48a1e27947f7
INV00029,de0add2e-3497-444e-bd97-c641b5754d2e,4971,748,2025-05-04 12:16:57,ab0465c4f7e12757a005e7eee597ac70
INV00030,674d43e2-b564-4df9-83e0-08d8d378e820,4376,174,2025-05-03 02:51:55,37ae6e1f2d8f5b01543f485b8285df45
INV00031,cacf17b4-cc76-4a81-a2a1-99b245d85f9e,4268,357,2025-05-05 17:23:16,8a1ab3e0725fdbe335156f4bd8434983
INV00032,449e10e4-a998-443f-8f47-b8f5ce345a9a,95,636,2025-05-04 16:51:04,4c957969ff81c6064d4b00daae8cd3aa
INV00033,bc2a6082-d587-43ad-b368-78b70dcb5f55,2774,578,2025-05-12 15:34:59,20e3b6e7693e35350b925c33a645f727
INV00034,bc2a6082-d587-43ad-b368-78b70dcb5f55,568,313,2025-05-04 18:53:09,840d6cba96c9d446b11a0157ca85be7d
INV00035,17fb2169-7a01-4654-8005-9db3d086ba75,1724,435,2025-05-06 01:04:28,2f1684b645f3b22ad5307dbddf05e3b9
