RefundID,ReturnID,Amount,RefundDate,RefundMethod,RowHash
9696be4a-5e1d-4b20-afd5-b3a3b12682e0,dad983a2-3f2e-44af-9e82-699ee2a7ab87,98.11,2025-04-26 03:59:50,Card,c564a8321d2aaa8261149157864f8262
a5b4a50f-ebfa-4cae-9b2f-0b3f9e71e0b2,36069dec-3b07-4312-821e-54a03301a374,174.97,2025-03-09 09:39:54,Store Credit,cc3e4f2f21599fc754ac49f14d5c18da
597f2041-2c8a-4c58-9ed8-c3eebaa5fa5a,6db13ee8-ba6a-40ed-8bf0-a45905fe9402,163.47,2025-01-16 05:38:10,Bank Transfer,a3e39346b25735203b5271f6b998b86a
a7d91b75-bb17-4789-8533-2f45167b28a6,b424505f-48d9-4a2f-8845-aabc587805f5,90.15,2025-02-22 00:53:54,Store Credit,bd8c24e4afd58ad24329b92317cde050
5f3ba607-79a3-4ff2-94e3-279de7f7e5aa,56ee2c74-ebe7-4251-8473-2c6d1b50f6b2,118.61,2025-03-10 06:55:31,Card,65697306e97f6f6487373b1c8267be3a
ec31328f-e164-4b71-83b3-0b6fc05ca5cb,65d9f2b5-915d-4897-8fea-3fc99d7f55ab,25.03,2025-03-16 11:21:49,Bank Transfer,867774abc772ef20b7afd7cffa8ee77e
585e54d7-c444-4514-b93d-71e7b91093f7,dc3675ec-cb76-400d-bd69-092419527c5f,53.36,2025-02-07 09:30:51,Bank Transfer,bbd6b02ceeff96b00c92c4588ce93133
fd0f6b5a-0b70-488f-8d18-e7750da4a82e,c905c752-4e84-4b71-b815-521d2cb8e801,134.07,2025-02-19 16:04:58,Store Credit,698be877111476d1fde69a42b50eea57
02bb7f0d-b4af-466a-8bc9-10940f028637,e2ed5600-af35-4fe8-a575-db06e2d6ba95,60.82,2025-01-08 04:36:58,Store Credit,5610f3a25d8bb997701488e52220fe6c
72567372-ecb9-4119-92c1-f6e8f1b7c26c,19f8996f-1734-4a15-ac35-0e5ff2b37dfe,85.14,2025-04-28 11:35:26,Bank Transfer,9b10adee8ee49b5b7ddbd8d59bfd654b
ceb7175f-3ead-433a-922b-c59b9b3dea05,a453793c-4779-4a58-ab32-6c0eedb53584,158.39,2025-01-15 05:57:00,Bank Transfer,38430624d0969cf0f53e030a7057dc71
0c78406a-4326-4f08-96dc-6baf47d77585,1586f685-ea2a-462b-b0ee-25c97289939f,152.1,2025-04-19 10:04:24,Store Credit,81784ed24d695b4c6e25272cdc49e646
ebe75c1d-ea02-4f15-b481-981810a611da,79372c65-171b-4c85-b931-262c49d7c5db,193.45,2025-03-10 17:50:32,Bank Transfer,fa3f4ad478eeb9b96c14316b7c6be6a0
778a6fae-aab6-4e97-96c2-270385d4813c,590bf96e-25d8-47eb-ab2a-bcc66714bf36,41.79,2025-04-09 19:34:08,Card,481d91ca8d3ad895f9fd76bc92c1998c
71fd05f5-14a8-48a4-8b9b-0ddde9889853,d7683c72-9522-480b-be75-2abd54a8d5fa,33.76,2025-01-01 06:47:01,Card,f10341cfff15b1ffffe184b225062c4e
4f1dc11f-f517-4a16-8556-7b84e6bce741,c49f6af4-ae69-4589-bca0-fd033be32a52,135.78,2025-03-08 20:36:56,Store Credit,9d7a14b441a6af5eb2044d593bc866ce
929a6583-cf94-45b2-99fd-cabf36f1d6df,ece89359-ba05-4749-9621-4ec21ab4a959,143.13,2025-03-09 05:57:10,Card,a843c9f3aa51f0a4880c049183493d6c
373dc279-29e4-485a-b048-222a182b0a33,af555eb2-5a66-48a1-8607-b5ce25e44b74,50.01,2025-04-16 18:03:43,Bank Transfer,7fc1926881293c01d4c66cfdd9d65929
72abd78e-6b0a-42a1-9225-7af804ec265e,93774bcb-a090-4b1e-90d9-5345246dd61f,29.57,2025-01-16 08:25:01,Card,9cbe601a873a00b3b3f2ff1bcbc76a8b
d7c1983c-5f4b-4d5b-9d08-78af2daae35c,741f44ad-0002-4296-bc0b-43e66c95ff9a,187.99,2025-01-19 12:45:53,Bank Transfer,1300119cb55c934d61fea2a5bfbb0353
a73bae07-87cf-4359-ac65-c57795a2d380,751592be-8cda-45eb-a2b5-58dbf7e62dea,114.2,2025-03-04 07:47:11,Card,7df046d4230e45e4968b6e40da95554f
583a0111-a282-4b33-a604-5cb5f2bcf5d3,76cefc27-79b8-43b6-8a2a-0c7f67da931c,156.48,2025-03-29 17:58:05,Store Credit,73dad93f6c016796a77e7bff66dfa44c
