BrowsingID,CustomerID,ProductID,BrowseDate,RowHash
2921f9e2-f5b4-4275-8900-a84bf322e68b,1955,1395,2025-05-09 07:46:02,f84688342627cb428386eed4dca661ff
f666df61-482a-4512-80e0-885cd0e8a273,2582,569,2025-05-02 08:38:32,8d81ab6a6e93c9b3d5648021f5a368d0
086309cb-9462-4e6e-b850-fa4849b22d01,1366,1535,2025-05-08 04:40:40,834c26bf6cf90f926a7309e65c977503
84dcb1b6-4952-49ee-8f94-0715138fabec,2722,3730,2025-05-10 22:05:43,e3575303efe35f04096224ae2fd52c3c
b06f7abb-cc99-4f8e-a26b-4ebd1a92ff5f,1162,105,2025-05-03 00:42:42,ead5b7701e283d292ee3890b442aca07
f7fc16c8-4d03-44ec-a714-aa3a8ceefd8b,3888,3506,2025-05-02 19:29:08,20e7310ee2f974b59c101e81502613c4
0823fce3-a65f-4729-ad83-b69937b5d8f7,2737,171,2025-05-01 10:45:12,51958b5d51fee21545ff16347049435c
50dc4dce-dad1-448f-bd39-6ea899035ffb,1455,2162,2025-05-05 07:08:21,681006491ba8186e4e343a5906db4b12
91ad0182-c854-4f36-aefd-d7b341999f36,631,1399,2025-05-11 12:02:34,d26d44dee9570848567b282f3decba95
406bab8b-7bb9-4a1b-abb0-cc25f5bf311e,80,4867,2025-05-10 21:39:50,7cbeca26df97c5152b845286b33f7502
9047bfba-44a5-499c-b318-fc48066a4b23,2885,3882,2025-05-11 22:36:13,3d15558410af186f148befb8bd05902d
ac67a6c1-7b51-47b5-af6c-2c6db8b2fb38,4778,9,2025-05-11 05:55:13,5f8cf05a1440866055cf87f24788d18a
8aed729c-d662-4ed8-b75e-74da7190cf01,4001,2028,2025-05-02 10:59:21,dd67e4b9eeaed5829f72aafdea7e759d
b8444ba5-a09c-45df-bb17-eb54520d29c3,3872,897,2025-05-03 11:36:33,a0858efd272da4fedec9f2bbac54cf6c
07196570-78b2-4b53-9df8-fd8b5584fb07,371,143,2025-05-05 11:18:10,c7f9ee281a7e3c79f8154e14899f9152
20f132d5-ec6b-402e-8ce7-7b13877155d7,4648,2382,2025-05-05 20:52:40,fd35d9911e4f3e2a7bd16fd3998a50cb
5cf941a0-8bfc-4740-a384-3650506ab4ad,1871,4304,2025-05-03 21:57:04,6050cdc6e1e2d813ddbcd59e84e306f3
718ac6d2-8582-4ecd-8b3e-5669a5acbfe0,4122,1371,2025-05-11 09:10:38,d9b556dd66800b91c5d6fd4bf7c5f92a
e983b51b-4213-4fa5-974e-d6ae453ed6b6,1201,770,2025-05-12 06:08:28,c6c3090276698f4d162720b535d71b7a
a4bd8fe7-8387-4192-a6df-3b25d061a95d,820,2496,2025-05-09 20:26:00,d25c072f2e0893eaf56a7dd16e84729a
fdaf3657-f269-448b-a49e-4e8fb566a91a,2750,3708,2025-05-11 02:53:36,1bd1176669e31b6ff7c9238d916748c9
8153bbd6-8a58-4f24-9ba6-53a2f78edd13,4020,2874,2025-05-07 21:42:50,f0d945059ffef73b6b41149b53a070dd
8817cbc4-604e-4319-8085-6263906b40b5,4471,2109,2025-05-12 07:58:28,9cbb5198ab9128ca95529f75ddda68a4
abe6443b-7719-48a1-9db0-7d2f5ac17a0c,3986,2077,2025-05-09 23:06:42,b741674fd208502b670cbda2d982c8c2
4ffcf44d-5cd0-43fd-877a-1aca418a8db7,2985,3759,2025-05-09 01:04:56,52ef270546a749d0da44c25b1e4b3d90
f901014e-dfab-4e9f-91eb-920df90a26cc,112,2889,2025-05-06 13:51:27,603196ea021570f3f7313d32cb6e1426
8ade07db-086b-4e48-8c54-e0987ea66cc5,2467,2734,2025-05-10 16:09:59,49a9adc82045d069c925be81b3584ab9
fd88c239-c7f0-4035-8d8e-2dcf5e85e5f5,4243,4881,2025-05-04 10:13:42,33b92dd67dd15dff32802941ffee0b93
f97a3ec9-ae24-42a2-9e4a-8c1c9eb94ee9,3968,924,2025-05-09 20:48:16,bd38d216d0f254081de68c195a1fe2dd
1e198bd8-ce52-4d8c-a061-5bdae34d26ce,2212,4255,2025-05-07 10:33:43,4a9732126441b9553b42316cfb0fbf3d
501041a3-b2c2-445c-af0e-b75a03c3d019,170,1212,2025-05-10 11:54:03,e6723c8da4caf908cd8a17f82d7201ac
b7b1a433-2627-4071-96dc-fea23bd90fe9,3362,1805,2025-05-09 03:12:55,5224759e68e872ebda35dbd43858674a
023e381f-51ff-4ca3-af64-25125516b6ac,1161,2927,2025-05-08 09:37:13,748679197ef7d247310442d031e639b1
37cfa5c3-7d16-4a73-a245-d7f8cfd4a13f,4079,254,2025-05-03 02:53:14,e38a6c0a706835783eee37f27aca7442
4ba281ca-090c-454c-81b6-0a68489a9afe,2002,4732,2025-05-05 06:26:30,7cfdc0de5dc2e0e6e623a78f05e55b61
857c885a-208c-4c00-b4c2-ef1a098af859,3529,2945,2025-05-01 13:04:24,f45586ea140714bb228bcf06362809bd
0796e3ee-b287-4996-9067-6509f2cffae2,1691,732,2025-05-01 14:11:13,86bda9871cd226b7c57ddf3379caf115
bd1a5966-01e8-479f-9f0d-c8d576779ffb,1588,3095,2025-05-07 00:28:02,e58a037c1c29bbd584bf3237678d11cd
07e44bb2-1183-4a44-99d5-ea3e33e1df71,885,2244,2025-05-05 07:57:42,f2c92d3820b1fa08e594ed05c7c8ef97
40ee71fe-f536-4f52-8552-f2671cf25aac,4464,3681,2025-05-02 06:49:41,750635485308a354ea69f870381d7063
e07028fc-3f8a-45b8-aa30-9891fb6502e7,4317,1434,2025-05-06 03:37:12,f58b11b4b6548a5efa3f4357c708fecd
fe85ae49-16c5-4aa6-8eb2-fa0437edd56e,2174,2858,2025-05-06 16:00:59,407b7bc7fdc7826024fbc90d2a21cfeb
88301ee9-1c08-4a69-b25c-cf280e677719,2714,3204,2025-05-10 01:34:54,8245d67afdba330902271265f2344cd6
86cb5876-22e8-4ddc-80a3-4f196f908e47,4827,3419,2025-05-04 05:23:09,3d1a93be6979e669f860e1dc6ccd57c8
b50a0ddc-3d26-422f-8a46-1a701c088008,2264,2534,2025-05-11 16:06:32,52c52e370707ade58e5471b8913a2a29
705326e3-e9bc-46d1-9dfe-c887984e68df,1562,337,2025-05-10 20:04:03,64ab90619c2e29d8170950025febe0ae
d576a6e6-db58-4cf3-bc45-61033e4743cd,4748,4261,2025-05-09 18:26:14,b18dc2292c8097921d7fb5e6512b780f
b9b11d18-74ea-4c48-a693-75fddff09446,2813,1008,2025-05-07 08:54:00,84ee15485cf92117fdc346b4c707586b
