ProductID,SupplierID,SupplyStartDate,RowHash
577,bc572b67-d528-4074-b373-01fff697aa44,2024-01-16,98bdebb92322f5530e564f16947faa0a
2530,39e3f31e-86c1-4cd6-822b-bbf5e5b05672,2024-05-16,6bf6a57695d802de3119cb803d75f02b
954,416412a1-3616-4692-af09-d48f4b258258,2024-07-10,df38beb85d683ef855e3b9d90cd70e8f
4995,6530f8be-a040-4aed-9783-8de932aa94c2,2023-06-23,03f09cf1724317597addc7af01999b9d
573,78441627-5dc8-4d21-9e7e-b5de61c1836f,2024-03-22,5ade29999f178c22cfb77825a92a0a0b
3283,a8886235-f9dd-457e-b8bf-2541c29c8620,2024-10-07,fc6f66e5630a9ca0cba8d933c28366eb
2008,32f31366-6143-4aee-9e76-b793f1d31932,2023-07-08,db03bded81bc5da8ea1972289470583e
3349,a8886235-f9dd-457e-b8bf-2541c29c8620,2024-09-08,37d1ce12ee6d88dfa00e97034eb83184
4762,3114b2dd-8df3-4f42-98d3-7c5652ef32f7,2023-06-27,081b7d999eab425c0a8b44e79ea9459c
2032,b29cfbb8-f493-4460-ad6d-59d18b18a0c4,2023-09-10,75a3a5ea9fc5d1d2960d00dad320f95a
2517,ace90f05-959a-4fd2-8ad5-f77517d06d70,2023-08-22,992eaa52a0a8680b433dafce38783807
627,f6223b7a-d6fb-4ec5-a898-6f8c823344a4,2023-11-19,c2eab32f7a6c06868d644e2445c79e07
1814,bbaee465-d02b-468a-b50b-067e6bc68e67,2023-07-04,7eccaa72caf3334286be00a69121e4e1
3690,284d0f6a-2446-4d78-9af6-8bbfe3c28a3e,2024-10-17,e1cb6aadbc9a58fc6c47a2e3a9c357c8
1982,d98166ba-9bce-4d06-899f-ee399a53bedf,2023-08-08,668c06fd4539ec1b3fc74b0d93245a63
1637,f6223b7a-d6fb-4ec5-a898-6f8c823344a4,2024-03-10,70101a5838787dfdac9115b3257b9c1e
3148,d15f6ed4-f9b3-41d6-bd89-24154fc5aa0e,2024-05-17,23ba35e0eae0fe35270bc6f2530764f8
1297,0f081c8e-48e1-4a4e-88d6-6b1e6cd96d94,2024-09-09,e4a7b079b5d79a976fbd3a38fe83fbf3
1997,284d0f6a-2446-4d78-9af6-8bbfe3c28a3e,2024-07-09,5145a9773e1c2cee06d6647ea0e79098
1842,63c77a44-db83-43d0-b671-73d4f846b60b,2024-10-20,ff6a0a82e4b42f9db77a14e57ff0bd6a
2613,39e3f31e-86c1-4cd6-822b-bbf5e5b05672,2024-04-19,9eef62677493bdf00ac54f499d9635bb
