CartID,CustomerID,ProductID,Quantity,DateAdded,RowHash
f123cd5f-fb91-4193-9fc1-499308b22c23,abc2f41e-ab8f-430c-9677-705f4343b0ec,ebd3faf4-ddab-42ae-a42b-c09f238d7e10,5,2025-03-08 13:15:02,931d89893cc60b592c5e75c7e35866a3
43651a2f-4740-4828-b3b5-8874796e67dc,2cc9a5a2-91d7-492b-8d35-7118e35f4dde,186ceec5-4316-4be4-813b-d39968baba34,3,2025-04-06 04:23:53,ccd405c69403ad2f8ddcb6c20424352d
61fbccea-5c5c-40cd-ac98-65b1cd7267ad,7ec92f10-c40e-4160-b34b-395017c26b71,92c44457-8d5d-4394-954c-56b78a11ea5b,1,2025-03-11 18:13:49,38982e35a89d4871b4c2e5c33e312abd
b5a843aa-8cb5-47b1-917e-a59ad3be1e99,19a564d4-ed76-41b2-bf45-d41d8500da78,7b9e194e-a0d6-43e3-bc90-d6564236f635,3,2025-02-06 14:07:44,ea7f3f06350dcfaaa44e365e610e15f4
a44bbc8e-1751-4b41-8c60-a7e6677e27cd,eb0851e2-3417-47e5-b97e-36ebf487607f,65041dcf-2baa-4156-af95-d4d2b52099ed,1,2025-02-02 00:24:46,bb4da8a809b70b306d401d49981f8a5f
711e2326-8fb1-4749-a717-3c67de3ea861,653cd13f-483a-49af-9e45-04707ae1508e,ea9cfea5-18f1-4451-8531-8307580505db,3,2025-03-20 07:56:28,99de4ebaf388b66ba2ad6bffd51e7faa
860b3bfd-07a2-4ea3-a4ec-b7072dad45be,653cd13f-483a-49af-9e45-04707ae1508e,ee1a759d-b3a1-41ae-9de2-0af3eeea1004,4,2025-01-04 17:07:39,20abcbe22bc654a1929b17e3bbea6514
05abdfc1-aecd-4e30-9404-df029219a448,ff2d9922-b0db-4e79-9e69-dde9abb78db2,f455fac3-9a36-4cf0-820d-8222edfdef77,4,2025-02-14 08:30:22,926725456c4fa5e8313a65e1ef989ed4
bedb29b0-6a71-4731-b277-43e9915c4981,f794693d-2fce-4b93-9462-2e86678f3a10,0064d480-4ce1-4714-b28c-bbd74a2b2610,2,2025-02-13 13:24:47,9eddf6e5d8bc7837774a477f3e274937
38fdb9ec-494e-4c5b-ae31-a887912e19e3,df600f99-242b-4e78-acfa-07fe39eabd9e,b4147427-32c3-4a02-a23c-2bfe4dd428c0,5,2025-01-26 11:27:47,cbefd7581eb7fd4857b5a8e004a4e3c2
f69a145b-0e7c-48e5-8779-d7a1fb4bba36,efd12b55-23e9-4f58-a207-35e1da7e7afe,0064d480-4ce1-4714-b28c-bbd74a2b2610,5,2025-02-11 00:13:04,43054aa0834ae5ee1d12292e71e95144
c36f777c-3ad4-474a-b140-4795fde1d304,796b2e76-cb5e-45a0-bba5-55e3896f4a19,50964d6c-469d-43c5-9a4b-6bcf4b35fd25,4,2025-01-05 06:07:23,0a672823dc947e0c29bd21b9415d6d44
95c95cf5-f591-4d75-b942-16ff0d106385,0cae327d-3c1c-4b9b-b1e0-103207463ade,6a061f05-4d08-4513-ab1d-4d616d73d3b5,2,2025-04-25 12:10:04,aecc0bcd0801dfca42261667e0b39aa1
961306a2-b039-4ddb-99fc-0b9f2c087e0c,85c32511-7f37-4de1-882f-2efa8040dea4,a0ef4b81-f840-45f5-8ee7-9dc1dcf2d4f3,1,2025-04-08 23:45:46,210e8e847e1139784f3caab44ce8e73d
