AttendanceID,EmployeeID,Date,Status,RowHash
f1247e12-e2d6-4829-a166-2224308bf712,733c0177-3b40-4acd-844a-2c67a81ee700,2025-05-01,Present,523e9c381c1b18c8d257695bf437ecb2
477b9de3-558d-4382-a8e7-df95633ab7b3,733c0177-3b40-4acd-844a-2c67a81ee700,2025-05-02,Late,cd8183678dd7eb9a40fd445d3c3e7e55
ca2cae1c-55b4-42dd-b8c1-d84c2adf2063,733c0177-3b40-4acd-844a-2c67a81ee700,2025-05-02,Late,6146a4ed055d306d3651464e6ff5d12d
04282d1d-22af-47bf-9298-66c785b2c174,9d592d04-8b7c-4a48-95b5-d62e8c77b3ae,2025-05-11,Late,34bfdc15eacfba55c0be13545631e016
c3697a93-c03c-4bca-8cf7-716ec82ef1e6,9d592d04-8b7c-4a48-95b5-d62e8c77b3ae,2025-05-04,Present,c664540389910a67728f230e88fd439c
25fd90ae-6963-4068-9782-f05a66212974,9d592d04-8b7c-4a48-95b5-d62e8c77b3ae,2025-05-11,Absent,1f7894312a6cfe4034593c2b0d390690
a649216a-8a35-4d68-8b0d-9bbb3d141170,eea4bb85-8fa0-4965-90f8-427e3d6dc2ce,2025-05-07,Absent,07935353da5d2d349910644dacb47e1d
40ed0e53-b02e-4d80-b717-32c5ad1aeb30,eea4bb85-8fa0-4965-90f8-427e3d6dc2ce,2025-05-04,Absent,e457f4a7353e27ab9f0b76ec23854dc9
7861fec3-62a9-41f8-a276-dba5bcc936d2,eea4bb85-8fa0-4965-90f8-427e3d6dc2ce,2025-05-10,Absent,868cb95e4ab64c63889b929de12f52b0
3942a07f-323e-4e15-bd1e-645a4ce0d5eb,bccf218b-7ed8-4d47-a383-7865a53dadb4,2025-05-04,Late,851091b3686846614c7e303076c5d1b7
1458f735-c290-40cb-aefc-595f1ad6b5c6,bccf218b-7ed8-4d47-a383-7865a53dadb4,2025-05-06,Late,5a9f96f2b38aac8d543291a1ee9ef9da
2b3c6e3f-e2c5-4d46-aca4-c57607bdbe37,bccf218b-7ed8-4d47-a383-7865a53dadb4,2025-05-08,Present,971f9a69a2d1518d2f84d04934202f86
3216bc87-1667-43b9-9126-559b5e62cc80,39219823-01ae-47b2-a7d3-780fdf7583f2,2025-05-03,Absent,44362e68feaf5e25ab84048af3efe74d
4c429d97-812d-4117-8e58-2adbd18d3c08,39219823-01ae-47b2-a7d3-780fdf7583f2,2025-05-06,Late,7709934427f8e6fa886dadb8cb9d5df0
9b39383e-ce37-4c67-81cd-330749523aff,39219823-01ae-47b2-a7d3-780fdf7583f2,2025-05-09,Late,9391e9041e9afb91a159cd2236abb7e4
607239d9-5e39-4ed6-a0d3-67e40aa948d1,21841375-fac0-4407-a211-dcc7084e195f,2025-05-10,Present,aae2ce59d55d234193d6d9c4c5715a15
b33db1aa-39b1-46a6-a180-d6a05a0ebf41,21841375-fac0-4407-a211-dcc7084e195f,2025-05-09,Absent,a9314e10d4c86ac9da22f75ed375ca3d
6473337b-ab88-4a8a-a664-c2db1e00e768,21841375-fac0-4407-a211-dcc7084e195f,2025-05-05,Late,75b042d77aa79e22fa0fb7e175b24597
e81a621e-b253-40de-82e1-6978509f5fc2,29443b55-835d-4dfe-9d1d-cb2d2e709813,2025-05-05,Absent,5819d63206ea0ea756c71ed5c8bf859b
220001b0-7ddf-484e-9e69-da00aae0a5cb,29443b55-835d-4dfe-9d1d-cb2d2e709813,2025-05-02,Late,5f734c7f64c16113421e0557f54e9f27
6c88f24f-b147-4afd-921e-5bca30ff2399,29443b55-835d-4dfe-9d1d-cb2d2e709813,2025-05-11,Present,7f60870a154ff78f7c698465a19988ed
59212351-f197-44d2-98a8-ec3ef55d1689,b6d9495d-7d94-469c-8cb3-d2e6d756a975,2025-05-01,Present,8fd2f9209a96d8589573de97592afcea
