TargetID,StoreID,Month,TargetAmount,AchievedAmount,RowHash
606e6779-a62e-4da0-b528-097ea6e9936d,c497212b-f140-4798-8a4a-fff690590af5,2025-03,44555.68,53755.4,444b4575dccf9e594f31466e3bf30f31
1509b0c1-e7ab-40b8-98f2-ba3d24f1da46,a1057858-62ec-4839-9b07-13ca5e02a426,2025-03,22832.09,22316.55,a0b39f572bc867f1be7824727cd55fc1
64bc76cf-a1f7-4dae-9651-66990209879f,1013921c-4a66-4cb0-8c1c-423b78fed26d,2025-01,12334.06,42695.82,4515e463b80bcae0c64e42fa6a6b5938
acd82a74-1779-4aaa-8cd2-2450eac650e8,581f6795-d78d-48bb-906a-803db42b5308,2025-03,24722.02,51614.37,14d4854c35840d45f891f1d6cde176b0
ef3aa1de-cd96-4e0b-967b-79a8674671ef,e197cf7b-8fe0-4586-b917-71660fa7fe1e,2025-04,43965.31,27463.95,178ac89fed7266d6292d00e5cfb05798
6c0e1c1e-c485-4e31-b35d-884849b58d62,44f20b1d-8a8b-4c64-94be-29c1042122c7,2025-01,46995.48,52066.96,e283f308658d3ddcf3c47841e6c8c342
c09d72d5-1b9b-4d0b-bb05-61c88dde8d79,0bc96bf8-c15b-421c-baca-1e839080a232,2025-04,37577.99,21499.46,4b374c6a145386d4747cb08e17a57b1c
b1dd602d-a828-42a9-8caa-42a88f8b4260,02ebd4fe-8110-47e3-b59e-f71c08a5144a,2025-03,42889.6,42281.58,87f70c2139c3a5d598fd36be6ef9c819
412223ce-f929-43c9-8186-20f763e37c4a,3e280c93-e647-4ad1-bdde-14dae735e364,2025-01,38225.2,51630.38,f0c67bca1cb9218cb3f2b1004eedb057
830813bf-200f-4a8b-b6e2-f59134211a02,c497212b-f140-4798-8a4a-fff690590af5,2025-04,27390.05,47659.91,fe1e43e4f69d3c165172ae90e81223f5
7e59d524-863c-484a-bc44-35bf2f8db2e7,093eb1fa-4fe5-41c3-89d4-8b5f2a340377,2025-05,20284.1,49687.75,33ea993e8097853f4f7396f38b962ff5
1eb4f16d-9c65-4bc1-9051-cd4208adb2d6,f7707042-df3b-4a83-9d03-d82bac2e3f79,2025-04,23757.23,7020.41,f7c0e31475e15a58640f71dd6d68b006
3cc66602-0730-48c6-af30-9079afa556ff,54d6d80b-2e76-4b60-80ed-a3204e23a4b7,2025-01,34088.29,39451.95,949b3eaa8592c575fb674f34361ca782
00875510-1c1a-4a21-a665-bed0c1851972,ba13b2d5-a484-47d1-a3ca-286034075be4,2025-04,20325.89,39611.92,17a1be9023c037108d3017fa08d91d7b
85eb20c2-2570-4f36-95e1-f51ed3eb3afe,398ced3e-37c7-443d-bfba-f033b06b1d4f,2025-01,26176.92,43645.59,676cac923a123ffc88f93584d520ae53
6677c182-024f-4b33-9bf3-8c8bda457cdd,42ebbb25-07d2-4827-abf2-35b3c9daa300,2025-04,29201.41,44158.56,c8952267011b1a234d12dc34d622b1e5
2a77ff7c-ecd9-41ce-af7f-2899af2ae738,19c5874f-165a-4baf-b00b-db1e8e4a8ff2,2025-02,37665.27,45691.01,cfcdb3291fdd2a0d35da2741ac3ab921
d318f0ba-5fca-4b13-bdc5-7ee4b75db86b,76d92cfd-2cb6-49be-90ef-67d5c120e6f4,2025-04,15277.11,9486.97,a3ea8ee21d9f44204b5b976642b910f5
17c218ef-c68e-4f2f-aab6-96b0a27464ae,623d601b-cf79-47df-8989-7d7cb9b42f59,2025-02,46865.56,14853.88,6a9ab56ed5ebaa6ab9c992432a6ca438
467e26d7-6e04-481b-bbe0-40791e7665aa,ad0144f8-d0e7-451e-8ead-b5ce4aa47b6d,2025-01,25186.14,17754.77,c262fbaee6d22390bddaa042f7c8e152
331b0791-9fab-4560-918d-3adbecd4b6de,f7072436-bacf-44d5-86d7-62843ac7e9a9,2025-04,35081.07,23259.97,67e8128fb4578ab682c900a633b102d3
874cd8ac-71d0-42cb-814e-9c7fb4924482,3f4bbda4-0741-412e-b5d5-28977dc47e62,2025-05,20292.38,37103.82,d556bff37de8a3d99435d01c3067b40b
c39582ab-56c0-4921-9e7f-e43a92150dfa,aa99fef2-f9cd-4a0d-84dd-f2981ac7febe,2025-03,33482.74,42846.65,801d5de0cfcbf745df79e5b6646898b4
9ffd75e3-cfe4-4ed7-bea6-2d049be3bd61,7d394859-6901-494b-975d-d0307729e8ce,2025-01,15647.57,36221.77,bc572bd03e85b3e4d85ac05ae2dac2bf
0b2a93ec-3a0a-468d-9948-1a9df2ddae51,bdb9d14d-c449-4eb6-a2dd-72c0c2a444f4,2025-02,31203.33,28326.29,996b650ac0647ac71587dc4387658180
031a8567-0502-40e0-89a2-c32db0b93baf,0c78f6ef-a105-47e8-84bb-ef2e3d6bc4df,2025-04,40419.46,34222.95,1c5794d0716ac65475b5c908ddd85eac
45703680-95c6-4ecc-93d4-06152a0af29f,1629f429-b1b4-43e5-b923-38c9562df935,2025-02,21826.96,25663.61,9963933f0454787b46e1dc2536a34069
d98b2f71-2fc2-440c-ba5b-e8b8c03c89d9,c6e5da8c-02d3-41e5-afcd-07c8b0216ae1,2025-01,14232.46,30004.74,2da4e60742410012d0c5f446a7778f11
757e4d38-c5b0-41b8-b27a-16ee53f3fb0f,3578aac1-4634-4f97-9bc4-65d3d6b2e5a8,2025-01,44491.57,30872.6,31c1d095417a16765335df56c8a1bf8c
7fd04406-249e-438a-a43d-748ee6a2ae43,aa99fef2-f9cd-4a0d-84dd-f2981ac7febe,2025-05,45374.92,13302.61,872f1c63069628739982cedea9794d79
6be8373c-9818-47cb-aaa3-33b2a2fc59cb,b9a52562-e7a1-47f0-b50e-fc9f4a326f17,2025-02,42447.09,38710.89,65b329e8044ca0e0f8231b3d9a8173a5
0a20fce0-b9f8-4d1d-ba7a-d8b1ffec5b62,c497212b-f140-4798-8a4a-fff690590af5,2025-01,11362.55,50229.18,0b9e0913a11e79f704629e8f748d2ca9
3ce5a4cd-cf23-43f0-9bc1-0dc30453f4e3,f7072436-bacf-44d5-86d7-62843ac7e9a9,2025-02,19799.76,15008.34,afb0db95823d8b54116e2963c438782c
bca3ab4e-c77d-4d07-bf60-9d2ff9291c07,df99028a-fd06-4f32-a469-8dcb7c6a79c8,2025-02,24943.11,10563.61,4121eb2cc1bf3fe2898508f0b9b95f9a
c70404eb-1067-4576-b9d1-aad5955fd735,b9a52562-e7a1-47f0-b50e-fc9f4a326f17,2025-04,18238.32,25014.59,8367ae8db2018ef6959cd9ca92f7f6b1
c89a35b2-bcac-4976-9a87-e9e9f4cf61cb,47c0d2d6-1812-49b2-a482-bc0bd6f2a9e6,2025-03,20820.23,32018.42,4bfb20bfdcf9d5a49181cf6d04540757
a9bc01f9-2be0-464f-8355-39ba0ebfcb8b,5b53a8e5-df2e-45b5-8540-0f33354600c4,2025-05,13493.81,39076.99,6cc460a49551e0cd67d3aa9fabfd56a1
8bf73876-9be0-46c1-bf29-07db3cbb14f6,4455fc8a-2871-40be-a37a-c8d9534a085b,2025-02,15671.85,18509.47,6d1e72218b58e167bee413a74785dc72
cf31c506-6cc7-4d67-b41a-072e0f71fcc5,3f860e78-0d6e-452a-b7b2-ed200b054978,2025-02,21252.78,33453.62,86156ff734e615f952c3434d3f78b4d9
e5da5fb8-a48e-41d9-828b-5967db9c5ee7,d6412e7e-f588-4f47-bcaf-c4127c83541b,2025-01,25424.9,45014.2,4b68fb9d8eae48e951c0ff0cc3cdf8c8
