ReferralID,ReferrerCustomerID,ReferredCustomerID,ReferralDate,RewardIssued,RowHash
12e0278d-bf03-4e30-84b0-2555e6e2bf3b,b92ca163-e06f-44a7-896f-f4b2dd7e856f,4feea120-f4d8-46e9-bfb4-911aa933f21f,2025-04-14,No,df559dd27960af0da4bd58985710b9a7
19460564-d292-43e1-8441-ce7e3d6d4b59,a5cef112-752a-40ba-b573-df00b771d56a,c4e56ea1-01e4-4a3c-853f-af4db8630509,2025-01-24,Yes,3bf388af0fad33bd54ebfacd4c2604e0
212c1be4-08d7-405c-b902-498bf1a51769,1e9a0433-e9bc-421d-9dbb-d2cbf6fb2297,eb87bb8a-0ef9-409a-9624-6d18781d400d,2025-01-04,No,1f695cffb7a9df91a7dcdd9989d22bd4
eb502f1b-c291-4e79-ae50-5758df250440,15da51da-ad36-4db6-958f-37f69e74b4b6,a22914d4-e7dd-4dfd-b702-c1df6afac412,2025-01-03,No,18090d4ac0caca089ad799cee2e1dbea
77c7de49-c99d-4901-abc5-7e94483f478d,9b1ddb4a-54b2-4afc-bce8-defb8d65c1f3,ccb66280-9c36-47dd-9314-6c3bfc6b82e2,2025-03-20,No,151ec21430a0e21f3a96995560ed9eb3
cd3728b4-ec7e-428f-9724-0aa21072dc0e,035765ce-dcbc-478b-b43f-f38992c442ff,7d8c164b-77e1-48b8-b9c3-b634d288683a,2025-04-30,Yes,4a3554af5e5ce4425d01d66636068821
862ce9e3-e8cd-4894-a2f8-fe855f3bbbd3,e859ce9a-a9dd-43fd-9cd7-bf1bd8c13964,80d7bab7-a5ef-4691-a707-7964baeba140,2025-04-26,No,d3f1fbd4ae1f408cb62d96ebd1fdbd71
58063741-d9b2-4ba9-9dcf-f4a2fbba4655,01d50da8-b34d-48ef-b445-cefaaa00514b,7832c85a-7fa0-4edd-b2cc-27f7de5ff4e2,2025-01-27,No,3d9c6da9385323316ec65af4a504518b
939a5ccf-fad7-4108-92d9-e8c0669b536c,66beab47-39b9-4dca-b770-73f070a08070,d1b84ebd-993d-456c-b440-45ec8a9ea3b7,2025-01-15,Yes,753c367b9ffbed06fb004565dee89cbb
d901b351-0875-4e65-ba00-e1d7c4379d55,7f191b14-927f-4975-84a6-4139f6dc9dae,48fff2a5-74a8-4727-aa04-60d54aad9302,2025-04-02,No,d3f5a6ce4d7a84abfd5d97f0148d52c8
0273a9aa-d2fa-4d3f-aa84-ff6c51a7dc45,fbd733a9-47d4-4e40-88be-709357213476,a9c5bda5-cc02-499a-931e-2ecb4b0ddb55,2025-02-05,No,5ec112d854fa2b6d2e974a9497f4f361
4711dbb7-95c4-482b-9408-39d7a7eecd7c,653cd13f-483a-49af-9e45-04707ae1508e,5bd8bae6-21da-4ad7-a758-54b7f43b9f6a,2025-05-04,No,9fbe582b4f01a55be0505add05ed31d5
55af5a32-58e9-4a73-9484-03d37f885dd3,9b1ddb4a-54b2-4afc-bce8-defb8d65c1f3,29dc65a0-da7a-4aeb-92c0-f4255f0383c0,2025-04-30,No,2325357e816e0e0c74994048681aea25
cb4bda98-6677-4b81-b102-f75f79fab1d1,6b429bc0-656f-47dd-9580-28efbaf20c9b,dddd2fde-92f2-4748-8ce3-575bdd3a858b,2025-05-01,No,f1086d3e27b26f6391d981676cca4f40
393c3b51-d5c9-455c-8f01-f22b1e0977bf,e6dfc052-6a5e-4aa6-aca6-ff3581a23a84,6a452d71-204f-401d-871f-53122f99e063,2025-01-11,No,6646ebdfdc4814daf651ee5cd092b764
ae9c8a75-31c6-4a85-bc63-9827d5ba43b6,6ade7926-18a4-43be-bb13-3e4a5b1f455e,1f095c72-6f0e-46f0-ad29-d54d97eedcf4,2025-02-09,No,f1e6a768f24d2fb5a3e539e98abd65ea
177dbe5a-b0d8-4917-911b-5bbe597e58bf,fc2265ba-8133-4e60-af32-0b135f4fc3cf,c8f88812-cc57-42b8-b7de-f9fc65da1b9d,2025-04-12,Yes,7074ae250bf3d52f3400b16763595145
7481280a-4118-49b8-b08d-1b974c7beb19,e52160b8-9208-4ee8-b49e-702370bb38e0,83310cc5-26ad-4fca-9a81-471806ef3bb5,2025-03-18,Yes,d1d63d72143878d1f6e6d07399025c0f
5ac0114d-6c58-4ccb-8f5e-fe5a52f2cb1d,796b2e76-cb5e-45a0-bba5-55e3896f4a19,73ad5832-1574-4759-845d-b47bc9654bd2,2025-01-29,Yes,f50c70f97bbf5eb0f5ca3891a34a6b53
efac6985-8609-4f0f-a61f-2f614c461d6c,5cefce5f-5a44-4f10-8dd7-0c809c4c169e,965613ae-e010-4705-942e-65544ad6fc22,2025-04-04,No,be9be457449c0c187fd9d26b94ba5725
0956a01f-2686-4c60-b5b9-01e1eaa6630b,bc0e387c-0b60-4a80-9ee9-45178de8cb66,e43420b0-631c-45bd-9be1-b64ae0ec213f,2025-05-11,No,2e035e5d4f14fc14aee9090e9e3ec6cf
b0d60b7b-50d6-4adb-8711-cbd7eb4dac4f,15da51da-ad36-4db6-958f-37f69e74b4b6,09d3d724-fce8-45de-8fb6-8b33ed7e55a6,2025-03-30,No,542f0442d07d5e6772821c019fadead1
0fd387dd-ae2d-4290-9adb-c99ff76c6211,66beab47-39b9-4dca-b770-73f070a08070,4086978c-ca42-41ea-be68-f3061ebe05d6,2025-03-07,No,d5f340c442328b9a4169c019df5fbc26
86d4c2e6-ccb3-419c-9148-7c1c6fe7cfe0,9a261f6c-478e-4a10-96ad-4b76e6f7f43f,e49e34a3-8115-4c00-af56-86a72f842a66,2025-02-16,Yes,2d48fc1d46937754ddb617042e363af7
febb51de-ade2-4618-b12a-76fa78d9f5f9,6b429bc0-656f-47dd-9580-28efbaf20c9b,c22182bb-13ff-4ad8-93d2-415f2ae3f919,2025-01-30,Yes,2edc650bbdaededbf6525751e67b481a
