AdjustmentID,ProductID,StoreID,QuantityChanged,Reason,AdjustmentDate,RowHash
60ac2388-1c22-440d-9609-532597da093a,241,31568063-1420-49c6-ab2f-219cf6c84088,-4,Recount,2024-12-07,02b1a2931c7decebcf0ef2bec0919dbc
e07bb46d-9ff2-453c-9c75-75f192b0760a,1789,122d5a21-1d98-41dc-9385-658fe7ef67ab,-5,Shrinkage,2024-12-22,41609e0a3bf8054d01331ee057d4d039
19367fad-f1c2-4dcd-acc3-430b703267e0,396,5b53a8e5-df2e-45b5-8540-0f33354600c4,-3,Shrinkage,2025-01-26,aeefb82df373fcae86d02833d46b81fe
2c741447-7019-4f60-9cff-78584c90b59e,4216,aa99fef2-f9cd-4a0d-84dd-f2981ac7febe,-5,Damage,2024-12-08,29b5be5e6bfab0fb095ec27c98b6151b
23001731-0c1e-4e7b-b97e-08c71217ac60,3902,874e3482-e0bb-4936-9f1c-41bda29cbd80,-5,Recount,2024-11-25,9647faba3f6c1d27943975a113017030
098c99d7-73c2-46de-abb7-cfb684f79d5a,3918,874e3482-e0bb-4936-9f1c-41bda29cbd80,-4,Shrinkage,2025-02-17,7d77cfcc0a8763d98f674f38781ade84
4f07e924-298e-4b1a-a837-f5fc0fdb2302,2901,64e37cee-410d-45da-8592-a2e08c8eeee4,-2,Recount,2025-02-27,2b4e15458df5f38a0982ca885bcc0a3b
d885fd11-7dc4-4dd5-a1aa-9e562f2e8f90,1730,01ba8c95-22e4-4f8e-bdd7-367531b7e260,5,Recount,2024-12-10,05b24631ff08ffbd10ab6381c77edfae
2b869264-f761-457a-8566-3bc7849af401,4323,bea13524-4693-4864-b4f0-c2ba929b6598,4,Return,2025-04-19,e695fa46eef1f3c8051e65ae414cc0a6
777d22ec-662d-4422-bd82-be85bfc80503,367,20d89646-1959-4624-8d20-117e253bb496,4,Damage,2024-12-11,69d6feb0198864ac77a435517883b3a6
68392119-3833-48b3-b125-a509a6b0855a,2920,e6fe1886-285b-4cfa-a421-f7978f96b3e7,7,Return,2025-02-13,2577c3dfa9d9d77070e429f7bce70560
75498306-c46e-4ff2-a337-56eb014ebc31,2001,4455fc8a-2871-40be-a37a-c8d9534a085b,-8,Shrinkage,2024-11-11,e10707de92ff6b095464996e64cb2417
cf365151-df8d-4f53-8c6f-b4075c41a632,1832,3578aac1-4634-4f97-9bc4-65d3d6b2e5a8,-3,Shrinkage,2025-03-09,4b3fb9f993c414b6b3429b6e848f8651
d00a801a-a365-488e-8d9e-620ee5924d9f,1789,66dc8a60-4b83-45a3-85e6-f382697e2a0b,-8,Shrinkage,2025-01-08,b2d5f01b48e57ac7a6ce303ee3a0cf88
055734b9-521d-4e94-931d-0e58f1a00265,4945,bb3a0954-d83c-4e5b-bd58-c4250a26ad2f,1,Damage,2024-12-02,eb79d9ba654430b761c55ca093f613e7
0aabcd51-dc58-4668-8748-bc9df111b1c7,2351,3f4bbda4-0741-412e-b5d5-28977dc47e62,-8,Return,2025-01-27,bd6bc9ee6238789c37b60f2a092ced9a
c8d28350-31d3-4f73-92dd-e0658467e445,137,623d601b-cf79-47df-8989-7d7cb9b42f59,10,Return,2024-11-16,39e22f54a08ca398ae7b80602c32c005
fab2c509-833a-40ce-82c5-d20cf5b855ba,1734,122d5a21-1d98-41dc-9385-658fe7ef67ab,4,Shrinkage,2025-01-04,3599794ad69422ae8ed8ae75c0f37aa8
0b1c36a1-0917-413f-8cc0-ea0b3fb9d81c,2295,c9749b26-5c7e-4918-8086-07f1ad862e2d,-4,Return,2025-01-10,e6d2ab205b949142c720a0100b144585
756ca936-b544-4ff0-8302-2a73ab6d43d7,1263,0a2fb1e7-6136-4713-a3ab-d0845186dea8,-6,Recount,2025-01-13,3e78010bb4c19d4ab5a106fa52c22c1a
e21e2a44-6a95-4f7c-84fb-5e0ef5f886a9,3703,830184b9-4010-44c6-9926-a08e9aed29b8,3,Shrinkage,2024-12-26,2d75abea51f63d0b00734c021b4b95f0
1b4685d2-3030-4678-b2d7-887d200b139c,3981,08468168-f14f-4e24-a000-22dc8424a0e8,1,Shrinkage,2025-03-01,c3340d795763f4706a87000279faa294
