ExceptionID,StoreID,ProductID,ExceptionDate,ExceptionReason,RowHash
d0e4500d-f0a8-4fa5-9040-0885c8ed2ac1,3f860e78-0d6e-452a-b7b2-ed200b054978,3115,2025-05-01 01:30:16,Address Issue,12a1d1ef76071281ef16b657f2ab5ad4
6d2beefe-ad92-4883-92ec-3fc7560f7bef,3f860e78-0d6e-452a-b7b2-ed200b054978,3910,2025-02-23 02:48:09,Weather Delay,66f7b4eccac8bafd2bb6ffb100847083
0ba466b4-3d5f-4337-8dc5-90991314a8ff,47c0d2d6-1812-49b2-a482-bc0bd6f2a9e6,3055,2025-02-01 02:14:33,Courier Error,0269f55d90961990fa1aa72f71753d3b
4c959596-3f60-4cdb-a8b0-8212a5cf1f12,c49e299b-895b-4fad-b361-879cec70a5dd,490,2025-02-13 20:25:52,Lost Package,367a83b0f069b43928a138f7ed1a28d4
daa77374-00ec-41a5-8103-26e81b9b40da,3c890e49-3fa1-4fd1-bdff-9758f10b3478,1820,2025-03-06 15:07:24,Courier Error,8c36395ed9aab95c117572a7e7487acd
f6672edf-041f-4df8-974d-404c612c58a0,44ab216e-47d0-4cb3-aac2-a7ba9098bb07,4075,2025-03-17 08:14:03,Lost Package,81bd0aa88f8837bcc47d2c45265ecd73
53adce2b-d4f5-41d4-9c06-57662ddd70eb,4c52532d-b5c5-4845-8420-6218f0b41d98,1572,2025-02-19 00:49:45,Lost Package,d8ca6d75cc181bfc2aacca5838ed985e
97bfacc7-2c17-4676-ba45-119e45108f8d,66dc8a60-4b83-45a3-85e6-f382697e2a0b,4795,2025-02-28 09:06:51,Lost Package,abfbe3fca043f47e196496b0594c1fbb
b1e7f1bb-bd81-4825-9f32-9f2d8ccf706e,7ba3c5d7-1961-4ebf-b146-9fdb307a7efc,2549,2025-03-21 06:58:18,Weather Delay,4bb8ea6265e7e12e99478573c6de552c
f2a8c463-a02b-4e90-ba4a-a2fac149a9af,3e280c93-e647-4ad1-bdde-14dae735e364,2808,2025-05-08 07:52:15,Courier Error,7e0cd32f1e214a8baf54af173bc2bae6
