TrackingID,OrderID,Carrier,Status,LastUpdate,EstimatedDelivery,RowHash,TrackingNumber
9e547e5f-c1f2-4614-bc9b-455c44e26efe,4724,USPS,Delayed,2025-05-11,2025-05-13,23c5fad77b418d052354e9daa2843816,SHP-1542-OVS
b65ca4de-7c90-429c-a6df-cb38a8923dd7,2486,FedEx,Delayed,2025-05-02,2025-05-14,200e9a7f9d7d205313d27d7a7426b223,SHP-1098-EFF
0c8b49bd-4b81-406d-b390-a0724d2dfc5d,4010,FedEx,Delayed,2025-05-04,2025-05-12,cf22f94b5c51c4464839175a91a5514b,SHP-1814-YUO
3eb65d4a-df16-4dca-b398-b0b4caf69bd4,1514,FedEx,Out for Delivery,2025-05-02,2025-05-14,c9ee63af1cfd2f69053816cf774eb15a,SHP-1037-WZN
a4f6332c-db47-4655-acf0-428d7b7d15d1,3956,DHL,Out for Delivery,2025-05-08,2025-05-13,da00d73ebfc5c286f5a9d9006e0fc821,SHP-2839-WNT
c46df4bb-abe2-4b98-995d-f198528fa525,3756,UPS,In Transit,2025-05-02,2025-05-16,60025e498b706d0e65376ac059572715,SHP-6158-HWB
c46df4bb-abe2-4b98-995d-f198528fa525,3756,UPS,In Transit,2025-05-02,2025-05-16,60025e498b706d0e65376ac059572715,SHP-2988-ZWT
c46df4bb-abe2-4b98-995d-f198528fa525,3756,UPS,In Transit,2025-05-02,2025-05-16,60025e498b706d0e65376ac059572715,SHP-6158-HWB
c46df4bb-abe2-4b98-995d-f198528fa525,3756,UPS,In Transit,2025-05-02,2025-05-16,60025e498b706d0e65376ac059572715,SHP-2988-ZWT
ab77b2f1-181c-483e-ac35-54db3d1b3e97,3841,UPS,Delivered,2025-05-02,2025-05-19,e52e132ef893d5d46eb408c523baeae5,SHP-7609-CQT
349bd065-33f6-428c-a000-601b98727f86,2791,FedEx,Delivered,2025-05-08,2025-05-13,2158e11dce158e8c0d62dbd974d819ae,SHP-2997-LOW
349bd065-33f6-428c-a000-601b98727f86,2791,FedEx,Delivered,2025-05-08,2025-05-13,2158e11dce158e8c0d62dbd974d819ae,SHP-6701-LPZ
349bd065-33f6-428c-a000-601b98727f86,2791,FedEx,Delivered,2025-05-08,2025-05-13,2158e11dce158e8c0d62dbd974d819ae,SHP-2997-LOW
349bd065-33f6-428c-a000-601b98727f86,2791,FedEx,Delivered,2025-05-08,2025-05-13,2158e11dce158e8c0d62dbd974d819ae,SHP-6701-LPZ
fcb52a23-dc10-4fc9-b805-af6ec7a731da,2739,UPS,Delivered,2025-05-03,2025-05-18,6eae3f3d0d0b2c708a700093e1829415,SHP-1719-NYK
bbcfa48f-a401-4ba3-93f4-6f3cc2db234a,709,UPS,Delivered,2025-05-09,2025-05-14,52a28847e2ae3d2f93538509f2bfdc55,SHP-2157-DHF
aed0ef15-2938-48ad-b4b4-c934df5fc3b5,1360,USPS,Out for Delivery,2025-05-07,2025-05-12,adc1f7655e3d6dae4a732d07f033036e,SHP-3341-STI
31fa3a1d-4e58-4d09-b333-72209b3c52ce,4684,UPS,Out for Delivery,2025-05-10,2025-05-19,beeea60baf552da2712e3fc1a0abe3fc,SHP-7675-SPZ
e1a08305-0b99-4a13-ab10-19d1f8539409,3325,USPS,In Transit,2025-05-10,2025-05-19,a43e8c1b1d8560567f520f07f922c814,SHP-8891-THE
546e3e74-668b-48d1-b8db-ccdffb46da84,1216,USPS,Delayed,2025-05-07,2025-05-14,b3866dde712ced79ac31752acc0b68fe,SHP-7349-GCB
8cc66fde-d554-4d5a-b0ac-69836de9839e,1666,FedEx,Delayed,2025-05-07,2025-05-14,d74a133940518d39986264a51089cfad,SHP-8573-WJE
8cc66fde-d554-4d5a-b0ac-69836de9839e,1666,FedEx,Delayed,2025-05-07,2025-05-14,d74a133940518d39986264a51089cfad,SHP-2698-PFX
8cc66fde-d554-4d5a-b0ac-69836de9839e,1666,FedEx,Delayed,2025-05-07,2025-05-14,d74a133940518d39986264a51089cfad,SHP-8573-WJE
8cc66fde-d554-4d5a-b0ac-69836de9839e,1666,FedEx,Delayed,2025-05-07,2025-05-14,d74a133940518d39986264a51089cfad,SHP-2698-PFX
76f5a5b1-d9a0-4bb4-abdd-1c8df1550aff,3764,UPS,Out for Delivery,2025-05-04,2025-05-13,44060a7799ad05eadb0c2605218cab89,SHP-6765-PPB
