DeliveryID,OnlineOrderID,DeliveryDate,DeliveryStatus,TrackingNumber,Carrier,RowHash
d2d5a1ae-bab3-49b2-b4b8-71f13c0d9eae,1163,2025-01-10,Delivered,TRK-5069-Wro,FedEx,2f1e1f43c4e978bb8d997d389d1fe20d
2a586c49-ab05-440d-9732-017e50ccd312,3607,2025-04-09,Failed,TRK-9441-dYT,DHL,162f622143dbda203a78a3f24a93f787
b7b26ba2-4b9f-4902-abb0-4b2f98d8bc1c,175,2024-11-23,Failed,TRK-0427-XVL,DHL,284d92dca964dc7ba438edd4449b1969
d4170422-61a1-44be-8f27-160c27bbab6c,2215,2025-02-10,Pending,TRK-4935-rLj,PostNord,2c70f6fc1161f1be5e103b856e758b1f
8ad2879f-a682-4632-92cb-d9d855329e35,2461,2024-12-02,Delivered,TRK-0181-GIO,DHL,7acc3d5803997dfe9486751217e46f40
9b246054-fe7e-4752-ae2a-185452b5b3a0,2287,2025-03-09,Failed,TRK-6991-njW,PostNord,a0fc9180dc4740a84fc680e8efc19647
07b13666-82b1-406f-a35a-92cf78705bdf,155,2025-04-23,Failed,TRK-9357-unH,PostNord,d77c5e1f913566b0de79b38a6ba5dbff
3c1265b3-89a8-4a1f-8477-7d54e83093f8,3638,2025-01-08,Delivered,TRK-8111-uTF,FedEx,d0c17293306315b822a1f3c7bf5af995
3c92c52f-6051-4d6d-adc0-d56a7ea1e9fb,1686,2024-11-17,Failed,TRK-3475-zdP,FedEx,224730d55db9a6cee18e9ea747a81224
62ee01e8-bd49-4865-8466-e39aa02dfabd,3532,2024-11-27,Delivered,TRK-6426-ltv,UPS,ca2d619dbe90096e5ff6cebf7c03e231
68f3101c-28d3-464e-a04b-58c1ed01d092,257,2025-05-05,Pending,TRK-5462-alh,DHL,61f7ac3aff549d351aa48d7e49a8b97f
0554b7eb-2133-4db1-8291-8c9dac338ad8,4987,2025-04-20,Pending,TRK-3546-NTS,UPS,65acc1cdaf4055673bc92a425d5d9168
6e5633ae-efbd-48a9-9644-acf46248445b,4842,2024-12-12,In Transit,TRK-2394-aFf,DHL,b5d0f2f176e94d2a3df9110dcac31811
24311464-dadb-4cf7-8fbe-9ce1327771c8,2794,2025-04-04,Failed,TRK-7343-ryy,PostNord,6d26405458d946b9ab5f4eba6336a919
acf15d2f-5419-47ca-a2ca-7993d1b7a186,468,2025-05-06,Delivered,TRK-0954-ERd,PostNord,1616dcdd784e25419c41aea41b1f5ddc
94ddd22d-f5cd-4d76-931c-246c9d950440,2355,2025-03-29,Failed,TRK-0603-KHe,PostNord,b9293fc46edfaa2fc406e818ce490c4c
39d43bff-0ae3-4e18-ae37-1457c9ab2f71,4691,2024-11-19,Pending,TRK-7951-zmv,FedEx,bc8ec0a1fb277f68ad9cd334a37bfb54
60fd099e-9e50-4226-8920-f64d646774fd,3124,2024-12-05,Failed,TRK-1412-akk,FedEx,af546c7ac0d9d43c335fc08e603f0e66
e37efc8c-d088-4e2e-8dcf-23af3f4ff286,1081,2025-01-05,Delivered,TRK-1756-eyG,UPS,60c2426281d106c519957bea55fd693c
a1418d9d-45fd-46aa-b23b-393ddd83d44c,2248,2024-11-18,Delivered,TRK-9564-QfH,FedEx,474c66e9ed1362044caa9d19d5fceab5
bc2bf76d-8ff5-495b-857c-d2f69e2c5d1e,4447,2025-04-01,Pending,TRK-5413-nRm,UPS,df2112d6e652959b3806369476c53f8f
d7453cd9-4c14-4384-ac2f-e0bef8cc9156,4679,2025-02-02,Failed,TRK-6502-HvM,DHL,67fec70b5db12ff40a09d3789898e399
2419a50a-ecbd-4861-a112-be5db82a0177,2247,2025-04-14,Pending,TRK-1565-JhC,UPS,f04a800f18ff9445f509829f8b1bbff5
e297d3e2-010d-43dd-8733-6e0c0f13d428,2053,2025-03-15,Delivered,TRK-9157-JkK,DHL,bd98833282beea38f780cbee6bfeb71a
924de83b-c595-4875-abb7-a3e3d276cb6a,2515,2024-11-21,Pending,TRK-5249-lkf,UPS,d0b53927c1f6476b673783addc164f7d
a012a0f6-8b3f-4058-8185-58b05205e57b,1465,2025-04-17,Failed,TRK-9114-kKL,PostNord,e52704ac1d6e90f98cdea5e30faa67bc
557d4754-f231-4c56-9f32-d11337d5d271,142,2025-05-05,Failed,TRK-9481-shs,DHL,5413d2fb02727c2309cdcdcf863e6086
ee95bab9-7c6c-4cae-b4a3-03a60f667ca8,3822,2024-11-11,Delivered,TRK-1385-STz,UPS,95dfef38f5814fdf7bc88a506edcc771
200a3f0f-2219-4ebc-95e7-dfd58bca83e2,3934,2025-05-04,In Transit,TRK-9939-hsk,PostNord,16e9168ddadef41b557562d35fba3676
5256f7e2-627a-4924-916a-08fb5ae773e2,480,2025-01-29,Delivered,TRK-5201-kTb,UPS,896970c0cc71d8a96b4145a7f8f4b761
1c5f5fcc-d15b-4178-b6b6-262ab016d9be,5000,2024-11-30,Pending,TRK-7402-dNG,DHL,71558fc414f14dd0c564a303b64c5e1b
b84cc245-08e2-46e7-836a-41cb031f8de9,3609,2025-03-15,In Transit,TRK-4469-GGH,UPS,99aa339da0f8eb5f0b6089319057a866
8781073c-49f2-4e84-83a3-30d29526fe45,2263,2025-01-24,Pending,TRK-6594-IeS,PostNord,ba14d79596f04bae827e3a36273c1eaf
0c753540-b05e-4977-bb33-ce967bc9588d,1043,2025-02-23,In Transit,TRK-2729-hpQ,FedEx,485c96de0c05d36396b9389707e71996
95793c6d-eca5-4a23-a139-e4b4c932570c,1204,2025-01-23,Delivered,TRK-7591-Atr,FedEx,6b4bd246b95bf0caab78c3b48aba17aa
1a12dabf-f295-47cc-b221-2494084eced3,938,2025-03-24,Delivered,TRK-9153-YjU,FedEx,24caa5a95047d585105269cd70093043
66ed4fe7-b4d2-40fc-bdb1-9daf34ba5fa4,4152,2024-12-02,Failed,TRK-8011-mdH,UPS,c3618d42490a412584582c2029c5faa0
dd0a21c6-df35-4e49-ba5d-e7946e57d0c7,344,2025-01-10,In Transit,TRK-2315-zIX,DHL,f1f36f3e4c6c6a754a92f484352bdcbf
9c19d936-1e13-44ff-8b61-276fed284389,2123,2024-12-13,Pending,TRK-3428-qTa,DHL,b8ee4f89386212d48b4065b5ec2d212e
f218a2da-87e3-4e6d-bb2d-65b6b128504d,2895,2025-03-31,Delivered,TRK-2246-lzE,FedEx,e6d8880537e0050bae8e7f17c11b52ae
e6867c49-c0d8-458c-86dd-5a82cd0ed8a1,2865,2025-04-20,Delivered,TRK-1320-iup,DHL,d0c47a24961563084502a8955256be1f
f2669caf-fc3b-4aa4-bb1f-1fb9a8ea9641,4153,2025-05-11,Failed,TRK-4238-BCZ,DHL,d9513824e983b0d965d6cfa934fe49fb
35351f73-1352-40e7-8b1a-b0fa9d5163da,4187,2024-11-17,Delivered,TRK-7760-tXi,FedEx,a8f49d4e933d3132bb2de3b8fedf054d
8acd10ca-89c9-4d65-b4df-1d0c1b00343c,1672,2025-03-10,Pending,TRK-3987-OTB,UPS,e65ff0fca99c41a401f2d04ba696f8f5
ce08e3c6-a340-4387-ac5c-01dc7d1377a7,3408,2025-03-27,Delivered,TRK-6740-ISF,PostNord,a72d7843137d3d4e331568e0674835c7
5c8e4e79-291b-41cc-ad3b-44872e29b6a2,2320,2025-02-12,In Transit,TRK-2107-Pvl,DHL,16f546d142135a0456408ed04db4a2a0
6efd581d-e668-471b-ad92-8c023d253f70,2676,2025-04-13,Pending,TRK-4003-nSc,UPS,30f48de2db6a1d12e263ed6cad75b449
1c1d4b0b-9efe-4379-b9e5-f8d44a98245a,3344,2025-04-30,Pending,TRK-5109-TFj,PostNord,68432817b65efcf396ed3917eb549aa3
f905efe3-e025-4dde-a431-b1ecf577f261,2409,2025-01-04,Delivered,TRK-7254-lBw,FedEx,f70240e34a4c4085966cedf20a8c0d20
96c06a8c-5a9e-426d-9860-b36e1a0aa2ac,3018,2025-01-05,Delivered,TRK-1689-QnL,UPS,41a335732d6dc50466f46dd431f24b20
39677635-f44a-4790-b053-13407849c16e,1230,2024-12-14,Delivered,TRK-7639-JuS,DHL,08453fd4dab7d966f0c406b0d4200e5a
7a8da525-171c-4359-83a9-56d4ca512dc1,4990,2024-12-15,In Transit,TRK-3818-kYG,UPS,f4a18945cf518b70b11110dc521e53c1
db35de47-2898-47da-bfef-895fd5a473fc,4185,2025-03-01,Pending,TRK-3632-XDJ,FedEx,661f61c86773c2323b0e6128512f0d0f
1c28bc9b-2aec-445a-a97f-2be6042f8e84,3104,2025-03-16,Delivered,TRK-6807-Vcr,FedEx,249705201c08d93d7c7b11a445e36fad
61983114-25ad-488e-9fd9-729afa5979d5,3122,2024-12-15,Delivered,TRK-3573-fHN,DHL,780faf0e91d816fdc389333ee62e39af
bcbe1c4d-5d1f-4c0b-b789-2c81824fb249,1840,2025-03-06,Failed,TRK-5931-fUB,DHL,77980f0059a1795a22c12cdaf62fc1d9
