RestockRequestID,StoreID,ProductID,RequestedQuantity,RequestDate,RowHash
d573828e-800e-480a-a5d4-0702600b9008,40bcc72f-da6d-42c1-950c-490e47205fbf,808,69,2025-05-07,ec11e51ca1b260d7d549284343861aec
03e356ba-0df9-4e96-97db-779d5b0f0fee,c49e299b-895b-4fad-b361-879cec70a5dd,1549,151,2025-03-30,81c141a51d5056e726865fd4923dd729
9a1714a5-f188-44ba-a2be-b324b5de1874,76d92cfd-2cb6-49be-90ef-67d5c120e6f4,906,27,2025-04-17,c5c4ac91084595b43a81462604c35d94
85f7411e-a1d2-47a9-83d4-9bddc21e73ae,ba13b2d5-a484-47d1-a3ca-286034075be4,1767,158,2025-04-10,29b086747e73854e48d68c9e1923fbf7
42543607-557d-4909-8a8f-c4211c0f2315,82f970cd-6a18-4d47-8f81-163e2998abd1,4883,23,2025-04-06,d508761c6cd4043fbdac47a3aa3d2b2a
844ab6bb-b1ae-48e0-ada5-bd8f3d5ec2f1,fc971a8d-bf12-451c-b975-f2901b591fe5,3468,23,2025-04-02,f81c7676826427a88499177f60dec38f
ffd45393-2399-4a8e-8bb8-9a48e7944249,1713a6f2-41c1-43a0-8a0b-edcfd1027009,602,18,2025-05-06,58fade45d26e0fb81d765a1496d1a2b7
1155e69d-f96e-4f33-b74a-90a116c60f6e,4d50f9b7-fc77-4655-9e40-8d1402c05266,1589,94,2025-04-08,06a5f5a32214a2b4055af200f7c2fe0e
5c63300f-cccc-46ec-8289-88becf95ddc4,d6412e7e-f588-4f47-bcaf-c4127c83541b,4744,53,2025-04-13,4c049c03cc056812794e15cb8f46c2cb
55137ec3-bd68-418c-9299-001bf794efb3,bbf68760-7734-406b-b254-cf19c1d58175,2253,144,2025-03-26,b084c6e9aa56b4bb090bbd88824308fb
91933d89-e6a9-4682-968c-ad2912028f4f,bf91946a-1ff0-4d00-bc6c-a00c72e49f92,3504,71,2025-04-22,32899b8412c6cac02d722efddb2b9165
d3afa6c9-60a0-4c59-b0e2-56fc0e405f6f,2739fcc9-7336-4444-a786-dd80db33d2c4,3839,200,2025-04-08,2e4e5da38872845066f4c164b0319914
1d0156cf-6997-473c-a642-04c334989ede,ba82a1a7-81e2-411e-bc68-6dde763ff558,1584,75,2025-03-26,06602799bf6dc90ca0c10975badea774
0aed3322-cba6-4c14-8c01-f8b8f8822557,4c52532d-b5c5-4845-8420-6218f0b41d98,3868,95,2025-03-12,b9015f58c5b91e06e812324f65a0c92d
f3450b9f-050d-4430-bbc6-901bd1151154,e6903e1d-1e5f-49a2-a227-741db594d62f,2036,106,2025-04-24,5852d887f641ffbdd6d737afb9f488fd
282e323b-85f3-4fbd-909c-add753950305,df99028a-fd06-4f32-a469-8dcb7c6a79c8,2640,200,2025-03-30,cc2542cc565d0ee8f398315ecfcd6f09
ade25476-1446-442d-a7f4-24040b56dac6,b0884827-649f-4826-99d5-092fc008b264,4797,182,2025-04-14,a43ee95d89258e4a0f22ee22af96860d
db4f70fe-096b-44b9-903b-4c0ce9d88ee2,aa99fef2-f9cd-4a0d-84dd-f2981ac7febe,1586,172,2025-03-13,a6d248778f4c5dfca71810251739e716
00a0d2c0-0fd7-4c66-88bb-86b8804ac7de,0bc96bf8-c15b-421c-baca-1e839080a232,4878,167,2025-05-10,61009486698834e677f7904e93500b48
698417f2-25f1-4427-b7d0-0b70ddfc1644,9b70695b-5588-44ee-b349-95fdef5dc164,1681,158,2025-04-09,208aaf2faa0df4435002434d4c0d64e3
df01853c-8886-4720-8e4d-b1dc20ce0f36,42ebbb25-07d2-4827-abf2-35b3c9daa300,567,150,2025-04-27,3af2c422572c738ff3c7e4869ae97ca6
a80bb4b2-1b5f-4d8f-8aee-5ce48e19f1ad,2f8ebb4f-9719-49e9-abf8-2bd3f41c7066,1180,127,2025-04-19,9fb4b5d74c39e0c87843f8c51d528bb2
788964a0-85f0-48d3-83ce-79ea86a9c0bd,53a7cd91-a001-4320-ae57-b6b9f276f171,4879,38,2025-03-24,e8e56200a49bd3defddc1221b82af3f4
1efd3898-9b47-4ba2-aaa3-e12e5a77e90f,1013921c-4a66-4cb0-8c1c-423b78fed26d,2000,159,2025-04-14,79f09dd8cf2e02239322dae6feaf5bd0
d669220d-cd0b-42ce-a6d5-494d083d6be8,44f20b1d-8a8b-4c64-94be-29c1042122c7,411,134,2025-05-07,85fed72260a97710df284a93923593c6
6b3d17f8-251e-4817-9158-e7b30f4ad709,d6412e7e-f588-4f47-bcaf-c4127c83541b,4968,95,2025-03-19,3f64ce7dd33da598b1c7c102929a1827
64b4e5fe-d9a6-4947-b93f-0e1a9874a7d3,bea13524-4693-4864-b4f0-c2ba929b6598,819,39,2025-04-28,2a3aa177d6274d31d8261a8350137e6e
e0dee143-6be9-45dc-8fcb-035b8df999bb,47c0d2d6-1812-49b2-a482-bc0bd6f2a9e6,2345,35,2025-05-04,9762f898f86c3aea0574f19da35b62a0
847144e4-cc5f-4054-9fb8-0f2786362402,76d92cfd-2cb6-49be-90ef-67d5c120e6f4,2291,74,2025-03-25,31658f662fc8e7d87e7761f0d01044a2
82f0127a-a86f-4d48-bff3-e6aa26610ac9,4d50f9b7-fc77-4655-9e40-8d1402c05266,3833,43,2025-05-06,43b249ed4653e96cb0fad6107d54482a
2c940f6b-5b49-4d51-aca8-cebc159fc3fa,a1057858-62ec-4839-9b07-13ca5e02a426,2308,27,2025-05-07,8e355bc386c49c17bfff29eb45c72783
442b4857-db56-4471-9eef-5307ca4ff9ad,1013921c-4a66-4cb0-8c1c-423b78fed26d,4894,147,2025-04-15,84af9033efa641527e3600fa0f1bb156
bc01d06c-13a1-4338-9634-8262b78a3d7f,3f860e78-0d6e-452a-b7b2-ed200b054978,2422,113,2025-03-23,a41a271139b10be1e37632fab0ae6a03
61a60b95-1c5a-44f5-bb06-b05af6da740d,42ebbb25-07d2-4827-abf2-35b3c9daa300,4986,152,2025-04-09,e2b10b035d3a57efa39dd9e4b30fdcea
594e0682-1d0e-4ce9-8986-719d0c6547e9,31568063-1420-49c6-ab2f-219cf6c84088,3760,143,2025-03-20,fd6a28396d0acee29ae4d134cbf63814
2963c006-7fae-4026-a29a-092de16f6bf0,19c5874f-165a-4baf-b00b-db1e8e4a8ff2,214,156,2025-04-17,e4cbda1794b89cd6add9adf835bd1766
2a283f05-e36b-43d0-aa26-36915ab9eb68,64e37cee-410d-45da-8592-a2e08c8eeee4,324,13,2025-03-15,9a9fd4d3a295afa8506eb8fadb454622
94e87e4c-4516-48e3-a3d9-02c68c83f96c,c9749b26-5c7e-4918-8086-07f1ad862e2d,2680,95,2025-03-23,c3a19af116f40b0fba99390815e7175e
460d0c6e-1dc9-4717-9cd1-ccd095a45c51,0a2fb1e7-6136-4713-a3ab-d0845186dea8,1435,126,2025-04-03,e4dfd0ad85a5321bba1a0307bdc4141f
00fd73bd-dff7-4344-bbf0-a28fa5f4365a,76d92cfd-2cb6-49be-90ef-67d5c120e6f4,2926,190,2025-04-28,b0334c0bafa113d0f6918445b2bd65bc
234ea738-32cb-48eb-9dc6-400fdaee3a6c,20d89646-1959-4624-8d20-117e253bb496,1195,28,2025-03-31,46d2bd34b7aa0e76fc63cac0528b4a9b
