CustomerCouponID,CustomerID,CouponID,RedeemedDate,RowHash
1fe2e966-8de1-4c9b-815b-9a0fc60ec603,869,9862bc82-1926-460b-be1c-50e57510cf3d,2025-04-01,0411ed982d1681f42ae9b81b3d31ec32
5eece998-8649-414c-adfa-f0ff966fccc5,2649,c34d0091-51bc-428f-95f2-d5eab5476e28,2025-04-10,82bf98e92ed8912c057bf73af9a94442
6c75d9fb-cd9a-40e5-ad33-8cea31e61b3b,3906,03e99025-8308-436b-ac05-58ef2e677932,2025-04-18,44cde687316dec9888a31e4d5a5a5c4d
fc148ebe-c099-4fb6-9eea-d80b97f955c4,2371,70d70f11-5b8c-4786-82b6-25ca90a6dcef,2025-04-17,358625732614384be258f4974f5091a7
91ba65d8-8623-498a-8b8b-5902c1a5e416,1927,9768eaf5-d1d2-4f0f-98ad-32b1ff448c8f,2025-04-25,aa7ce5a7d15c8bf60a35303d5c75b1c5
dbcfcf00-aef0-48f6-8185-f8e503640e57,4049,9da5b2db-5fd4-41a5-9c58-cc97337034ce,2025-02-22,56b8348eb1f148eda424788484104f34
cb12b332-8e25-4e61-9b01-d8ddbc432706,1773,3f581773-4bf5-488e-8b94-8f6cd030b328,2025-03-27,7fbaa8e00d0ed00e07d707bb78b89005
bf9c718e-c736-4a5b-8b0d-e085e59e9fde,4019,b7d56d86-531f-4ba1-8159-5bff8125c859,2025-03-18,917b2b73d7e3a5028eaffa9f47060e84
00fa4ed2-3ca6-4958-b07e-6242298041a2,2524,cc05cd48-2e4b-4c4e-a600-3ed433adeb32,2025-04-05,a72f0d7d0309e408206565a6ecd0071c
84c49324-a196-4e83-8b70-3d9fc638c868,1300,2bfccd3f-f509-4ca8-8ed8-a82ee85deaf7,2025-03-12,4992e6d2bddfd4485b6a180df66b934f
42af0502-f149-4819-9e9e-090484068e0a,2545,74313bcd-303e-445d-a603-e5aac983abaf,2025-04-15,eadce2285c9bd35942dabfba3b519ab6
22800c04-17bb-431c-9a78-5c7a4ae601a5,3515,78f36cb1-07af-48f5-87f8-4ea8b6223303,2025-03-30,e81951f6fe6a7d40b6bd98d5ad5019ef
49692e4d-31b4-4e3d-bc0a-091cf474fce9,999,03e99025-8308-436b-ac05-58ef2e677932,2025-05-05,98dc3dd4d849b5b4623f20287d26454e
85aff9a4-82d9-4e30-9258-7b54fb8e6e99,1061,9768eaf5-d1d2-4f0f-98ad-32b1ff448c8f,2025-04-04,757c017a7f3d769b194d74bd193ab806
fb25cc82-d7ee-490c-b4ba-abe5650098fd,2310,2bfccd3f-f509-4ca8-8ed8-a82ee85deaf7,2025-03-29,f1f1028f9dd7567f8ae9fe2bc126d786
35094032-9402-401d-a4dd-58aaa5c01f62,3059,9da5b2db-5fd4-41a5-9c58-cc97337034ce,2025-02-14,372b261342944ffd208250ee94d8b73f
be48b19a-b598-4f07-a938-82406afc14bc,1050,bdec97a0-a3bf-4afa-beaa-152f61a45a5d,2025-05-11,1a8de94217fc227ed3c5e2d72796ea67
86c7dff7-db1d-4faf-9c69-01bdb12b38f1,4632,ddfd3dd5-ac0e-462e-949b-0d39b1c13f92,2025-04-19,37929430ad061236293d96928dbad508
5a6873b5-7dcb-4c52-91e5-397b1b99602d,518,232c1c9c-66bc-402a-b2de-94f0601d8b51,2025-04-03,bfddd936e393a1bfb03989ec92f65acc
0094c7da-fb3a-4481-bf43-c4e1f1ee50f6,3663,bdec97a0-a3bf-4afa-beaa-152f61a45a5d,2025-04-06,57b5865fb88d7e1fa6e3c61cdbdcc729
c886bdf3-f7c4-4a86-9984-689a15c0b072,3417,a6a36dc6-3812-4985-b5ae-60338f63c194,2025-03-07,ec5762dbaa8696fac95c789493ef7752
98229967-e555-4b1e-a0b6-71ab6809f77e,1716,c82735ae-6553-4916-9be1-24ce4e80d7db,2025-05-01,f5ec7c1253b6866cb9168d2e40fc5620
