RedemptionID,CouponCode,CustomerID,RedemptionDate,RowHash
RD00000,CPN0035,8070fcf1-87d8-48e5-988f-1f369c06cdc1,2024-11-17 18:13:42,5f4b44c360eec7eaad1a3cc771e992c5
RD00001,CPN3133,3bb1717d-21cd-470c-9e89-3c63077a1359,2025-03-15 21:06:38,8c506f1076eeb2806271dec0b2c7a914
RD00002,CPN2278,32c5b93f-8271-4c50-a62b-e8f545caaa6f,2025-01-25 09:17:46,b3675a48fd73b072c966591802f0f2cf
RD00003,CPN4468,1839e3f3-d986-40e7-b0da-022e91928a13,2024-11-19 03:15:51,48346044ab2267657705f15d31f15cc0
RD00004,CPN4792,dbe6c8e6-7cc4-477d-ab61-f3f2e5dce341,2024-11-19 03:31:37,bc82d008e83b3bc787f175426e8cabea
RD00005,CPN2703,cc7e6efc-6c65-4b2c-9314-ee7b451acbdf,2025-02-04 12:34:24,a411648e9cedc2a140e4abbdd0929495
RD00006,CPN1445,f326cd1e-3549-45d6-9382-4ce1eebadcf0,2025-02-26 21:07:47,4206abc7f9fc1193abb3b40376f0e112
RD00007,CPN4554,5cefce5f-5a44-4f10-8dd7-0c809c4c169e,2024-12-30 09:48:56,01d160bb83ead7d6e5a452da7330200a
RD00008,CPN0225,abc2f41e-ab8f-430c-9677-705f4343b0ec,2024-12-18 21:17:16,44ec53043350bdf74baeef3925774871
RD00009,CPN4923,02cb4728-42fb-4733-962c-19a1d3c00406,2025-01-21 11:42:49,ff4e46f60a676f2c5ae1b0aaba07324a
RD00010,CPN1681,3bb1717d-21cd-470c-9e89-3c63077a1359,2025-02-02 11:54:49,6d5fbdd559b7cb98659c781a9c7f7eda
RD00011,CPN4511,6b429bc0-656f-47dd-9580-28efbaf20c9b,2024-12-11 20:52:34,82fa087950cd2d310446bf3a6b695032
RD00012,CPN3928,dbe6c8e6-7cc4-477d-ab61-f3f2e5dce341,2025-01-08 01:35:12,4126f5d5519f6666a9ea375e297c3e00
RD00013,CPN0124,c0e366b0-4820-408e-94df-b7532085e9c5,2025-03-21 06:34:58,5c8e0f1d15099208c5eeed83701985d0
RD00014,CPN0999,8070fcf1-87d8-48e5-988f-1f369c06cdc1,2025-04-14 16:56:34,38ba0e230aabfcb8c276527695ae9283
RD00015,CPN2830,df600f99-242b-4e78-acfa-07fe39eabd9e,2025-01-16 03:30:38,bf60936a97280a0846ddbf273d5fba78
RD00016,CPN2894,5cefce5f-5a44-4f10-8dd7-0c809c4c169e,2025-03-24 06:08:13,bfb3d5faf3985ffed498e0af0a867006
RD00017,CPN4875,1d301ea7-8438-4977-bbde-d4ecb1b9ca1d,2024-12-21 09:40:01,0a4216d71cac14f8ab4146799cdc84d7
RD00018,CPN1446,7c5d467f-5fb0-4f77-905f-8acef67d84a3,2025-04-22 15:23:06,3c58235ab3d22241575bc683a12ef8d2
RD00019,CPN1978,85c32511-7f37-4de1-882f-2efa8040dea4,2024-12-03 03:52:19,f9a208ba37819983d23e327cfd650d4e
RD00020,CPN1900,15da51da-ad36-4db6-958f-37f69e74b4b6,2024-12-20 19:21:45,40a8c46b85ef4c789ce33006524fc0a1
RD00021,CPN1791,f69962ca-a6b4-4464-878e-59ae6b43b6f8,2025-03-06 00:10:00,b002a89eb3c39123b870a4f645151e5b
RD00022,CPN1791,93a2faf7-17c8-4513-b63e-f27c8b36314e,2025-05-05 04:13:40,bae7a3e981f1f985835cdbb5d5d2abaf
RD00023,CPN4930,2c063f55-8e12-40f5-82d1-e02e8211dcaf,2024-11-17 09:06:33,875a2fbf571c726c87b892b74e493fa0
RD00024,CPN2406,11c38e31-9cd1-4350-ac64-1e541ef9fbaa,2024-12-07 18:41:51,4adb754b4fcf0e7dafa711105ecfc254
RD00025,CPN0448,e859ce9a-a9dd-43fd-9cd7-bf1bd8c13964,2025-04-16 23:23:24,2e64987f9b12330b3f91b278b8afe093
RD00026,CPN2375,088e7d05-b0ef-4166-acb0-16d57f776a6a,2025-03-29 11:13:15,b244660286e327decb176c0c508576f0
RD00027,CPN1158,11f5a691-d739-491e-8a3d-0cac3ba34fc5,2025-02-23 01:44:49,e03ad799c55d8f3140d25ef4b4e54f0d
RD00028,CPN0798,653cd13f-483a-49af-9e45-04707ae1508e,2025-01-05 06:50:05,4d22ff7c58c3a495c0502aedd68ffb2a
RD00029,CPN2898,8a2b7c00-2a2a-434d-af0b-86e03d94e54d,2024-11-26 16:35:44,78ade659dee4ce803050030c9ff48561
RD00030,CPN4261,2e90cc5a-37c7-450a-ae09-18d7be038c34,2025-01-07 02:32:57,9e4bb400ea7c5460b3aff46b48f7e227
RD00031,CPN0299,9a261f6c-478e-4a10-96ad-4b76e6f7f43f,2025-04-13 02:59:09,033e3e352872717a6475ac08a90f2f11
RD00032,CPN1423,7f191b14-927f-4975-84a6-4139f6dc9dae,2024-12-16 18:55:26,9c9d794a843b6b642353a5f2d395dbc3
RD00033,CPN3352,7c5d467f-5fb0-4f77-905f-8acef67d84a3,2025-01-31 11:31:29,41ddf526b4632243b1f6c340771e03bd
RD00034,CPN3358,270a78d4-d980-45c3-bf41-9c12bdda3546,2025-02-14 11:28:33,0f14779bc28fc0bc7c10a4d500b0fad0
RD00035,CPN1473,efd12b55-23e9-4f58-a207-35e1da7e7afe,2025-05-01 08:22:16,c1e1c53c7f66b5dc357509cc53f8e609
RD00036,CPN0695,2e90cc5a-37c7-450a-ae09-18d7be038c34,2025-02-08 20:42:18,e3a5022d43ffb2cc7209a0224820724a
RD00037,CPN2478,5cefce5f-5a44-4f10-8dd7-0c809c4c169e,2025-04-20 05:59:19,29fde78f1e20a9981f8e778407255972
RD00038,CPN3112,85c32511-7f37-4de1-882f-2efa8040dea4,2025-05-09 06:45:01,50f3299bc99f5aff5d42462c41b71055
RD00039,CPN4046,6ade7926-18a4-43be-bb13-3e4a5b1f455e,2024-12-23 20:18:12,464196e5cc5620ba40a3639a84863b5c
RD00040,CPN1666,84f6c6dd-37d3-4909-801e-b3d78f3e8099,2025-03-28 17:47:20,9ce22914ee00436e8a709dc008cb11ea
RD00041,CPN2938,2421a4de-b9b6-4373-992d-f10380e8449e,2025-02-13 00:57:21,d805d05dcdc52a26f00da336c59414e7
RD00042,CPN4759,5f2643f1-ca38-40c5-adaa-748da8a72c69,2025-04-05 01:11:40,5219f9674fb143edd97dcc29a0cd990e
RD00043,CPN0779,d86011eb-bd81-4aee-b905-18ffad895411,2025-03-31 02:27:13,0dfd6ea85fe5e3297cd37a9062e85784
RD00044,CPN1907,035765ce-dcbc-478b-b43f-f38992c442ff,2024-12-31 22:27:50,bff4a03574a8a393fef06effc9a42f20
RD00045,CPN4831,15da51da-ad36-4db6-958f-37f69e74b4b6,2025-03-10 04:24:58,559c0d6421ed1ef79b0da8bc281822ae
RD00046,CPN3231,2421a4de-b9b6-4373-992d-f10380e8449e,2024-12-27 13:13:58,37d2135429be360b3753851825d7d206
RD00047,CPN2690,0475a1c4-c35b-4ecb-be0a-6103af0e3d5d,2025-03-12 00:37:57,6f9c221c09abdc46c7ee2e0f1f6e31f8
RD00048,CPN0910,bc0e387c-0b60-4a80-9ee9-45178de8cb66,2024-12-16 14:08:19,a2fd853944b1a0f87059f4ce941872f3
RD00049,CPN1167,86664865-4e84-4896-b9b1-3d58a3c19a13,2025-03-11 22:14:00,b6eee3e46266029616c3f656f4d1bebc
RD00050,CPN2643,abc2f41e-ab8f-430c-9677-705f4343b0ec,2025-03-17 14:37:49,6801b9e404c3fdf5d33f53ca11764e6b
RD00051,CPN3573,2e90cc5a-37c7-450a-ae09-18d7be038c34,2025-01-26 19:34:30,428398abd686df7537536d58e99bf38a
RD00052,CPN3516,7c5d467f-5fb0-4f77-905f-8acef67d84a3,2024-11-29 22:29:56,92216df564a980068d31fd5b4ffe8392
RD00053,CPN1944,a9cda48f-5bc6-47eb-88d3-50606128be2d,2025-03-13 13:41:23,3baba9881e22ead08581efbd6c0ee284
RD00054,CPN0569,9b1ddb4a-54b2-4afc-bce8-defb8d65c1f3,2025-01-29 08:38:06,d7e6c69de054014cb143dcad6c9f0e9f
RD00055,CPN2608,67403e9f-0231-4a15-848a-d9cea4795a2a,2024-12-07 17:00:03,dd3d2249b3b0c27de7ad1251af14a8e1
RD00056,CPN3770,2c063f55-8e12-40f5-82d1-e02e8211dcaf,2025-05-07 01:10:24,0841711d4e203db985919f9108970b8f
RD00057,CPN1759,1839e3f3-d986-40e7-b0da-022e91928a13,2024-12-14 15:53:15,4a0f7dd9c7c8b5358cbd719c51e66ef4
RD00058,CPN0090,5f2643f1-ca38-40c5-adaa-748da8a72c69,2024-11-14 20:34:01,5f6d1865e7763635a806687f2d1936dc
RD00059,CPN4805,7c5d467f-5fb0-4f77-905f-8acef67d84a3,2025-03-09 00:49:58,86452661ad1eba7873680ae316c36cc1
RD00060,CPN2643,a8fcbccf-0403-4a4c-a900-7f5c87ef1aec,2025-05-02 22:17:57,594200840c6c76d24ec179d0d6601000
RD00061,CPN2983,84f6c6dd-37d3-4909-801e-b3d78f3e8099,2024-11-15 22:49:48,f59cdff995aca1399d391f863c0249bf
RD00062,CPN4332,f326cd1e-3549-45d6-9382-4ce1eebadcf0,2025-01-26 08:31:23,b0b5e4fa4313ed43f343879ca67cf6cc
RD00063,CPN3943,bed734db-9554-4ebe-b415-628b657962d6,2025-04-17 18:38:58,69fa1fbb01e002edaa65e1a77bb1cd3c
RD00064,CPN2285,017092b9-a700-41e2-8365-eeeddf441c3d,2024-12-31 10:39:06,26d1be54e461c4863d9e28d14979ec3a
RD00065,CPN4659,01d50da8-b34d-48ef-b445-cefaaa00514b,2025-04-01 00:48:37,c810069345887a5729a6654228441aa6
RD00066,CPN1266,e6dfc052-6a5e-4aa6-aca6-ff3581a23a84,2024-11-26 10:27:59,921ca15fe34567b3f81d3411b7904b7f
RD00067,CPN4501,1839e3f3-d986-40e7-b0da-022e91928a13,2024-11-17 21:24:35,add77bb39d27e2e6e9fe20774b78e331
RD00068,CPN1343,ff2d9922-b0db-4e79-9e69-dde9abb78db2,2025-02-13 11:51:41,d0c6d7046fe87fe6ccf4effd8a967cab
RD00069,CPN0756,bc0e387c-0b60-4a80-9ee9-45178de8cb66,2024-11-29 11:36:34,8d3a54fce08ae12bf5351530d7963246
RD00070,CPN1609,829df66c-a6f3-474c-bc06-48d34aa71c44,2025-02-05 22:55:13,bed2dac02ef6e40225b118e9542da6be
RD00071,CPN2192,5f2643f1-ca38-40c5-adaa-748da8a72c69,2025-03-01 22:30:56,3ecac1084cd3a6e38637004492fe3b01
RD00072,CPN4402,1e9a0433-e9bc-421d-9dbb-d2cbf6fb2297,2025-04-22 15:22:43,139b1593f8fec760bfa58b12a8450737
RD00073,CPN1310,2eb88cd9-93aa-4403-b930-4d0d8ababa21,2025-02-28 18:30:11,601da340f91279e60b880c25d4c99fd5
RD00074,CPN2608,84f6c6dd-37d3-4909-801e-b3d78f3e8099,2024-12-21 00:42:23,6938818f08ded6ff0ec2d74cf5521363
RD00075,CPN4991,cc7e6efc-6c65-4b2c-9314-ee7b451acbdf,2025-01-13 10:55:04,9da86a8c5ec6dd4b01948f71d7e240f5
RD00076,CPN1942,7c5d467f-5fb0-4f77-905f-8acef67d84a3,2025-02-21 13:11:27,ad7f76e788b6a241e7351ee857be2862
RD00077,CPN1564,bb8f9480-8fc2-46ac-8f93-942acc115626,2024-11-23 14:49:37,488cb300f33e5ffe8392e625d859ed6e
RD00078,CPN2402,93a2faf7-17c8-4513-b63e-f27c8b36314e,2025-04-17 11:29:37,3e2fa9d30683344b9f7330185d8910ca
RD00079,CPN4669,d86011eb-bd81-4aee-b905-18ffad895411,2025-05-01 01:56:25,4e1012977ffe81f7c4e952c8cae0ed6f
RD00080,CPN4910,9b1ddb4a-54b2-4afc-bce8-defb8d65c1f3,2025-02-06 11:32:45,0fdb8d51b9806da7e1002b2245c2df6b
RD00081,CPN1831,f69962ca-a6b4-4464-878e-59ae6b43b6f8,2025-04-22 01:57:15,3704c796b41ec798a330f19c01080d2a
RD00082,CPN3694,b92ca163-e06f-44a7-896f-f4b2dd7e856f,2025-01-11 22:32:55,611f60b317bd8627b0da2db899129bc8
RD00083,CPN2978,2998fa4a-22d8-4603-a0fe-09f27c36a0db,2025-04-27 00:46:20,1bb8c6d33547b49d94ef78332c971243
RD00084,CPN1095,c8a37272-48fa-44ed-a432-b26ea868a892,2025-03-14 05:12:41,bed1bd4c546a04cc28e32aef389b4cd8
RD00085,CPN0283,9de85a38-608f-45f2-b25f-78aab3924fa9,2025-03-30 01:32:16,9a20650663cf4567b75555c380e74613
RD00086,CPN2511,07a7c40b-1082-478f-be65-ed92db3c2b5b,2024-11-24 11:24:01,d2a3f2e51fcaa03f4d5509cfab2ea53f
