PerformanceID,CampaignID,Impressions,Clicks,Conversions,Revenue,PerformanceDate,RowHash
7fc45a90-ad26-430d-bc28-a921d5ea9149,2aed644f-bee5-4744-8415-3435f0e018f8,16812,4375,690,4230.42,2025-05-06,2a7c9eba15b4d95750f73424bb5d3386
07549e2d-3054-4940-b3e4-6afaf1934264,46489a37-006e-4d88-a449-932ea2802c93,69846,2162,518,4480.54,2025-05-10,6d87fd5be9626cc8039807b6689f64ac
8bf38e50-d5f3-4958-afba-cd0a5f229240,5dbc9e1d-5f42-4c51-a3d0-4b2ee094ae5e,32205,1101,801,4130.09,2025-05-10,5a589f6fc98a81c450bb135c5c0015cc
6d57f5c3-2605-487f-87d6-250860329a5b,644254f9-f6f6-4ce8-98e8-079a764d4eec,44160,4886,764,2254.78,2025-05-02,b7b5c9dab6293200982a8126da890453
006a07e2-eaca-4885-a3ae-85dd7821e142,7616ec66-d4f6-4429-b162-9b87b88b4f61,99090,2032,967,2402.91,2025-05-11,8ea65c72c6bfc0ccaba8aba7eeeff006
f38365d8-81f9-4e8e-ab5b-f5a4940a4332,ab57ff61-b5a8-4fc5-87e3-037bf8c79dc4,19910,975,189,1463.49,2025-05-07,cd4c731fc5cf970f99fd0dccd7f1e059
11b1945e-de4f-4c63-b9da-c990a1098e7f,06bd92f5-94a1-41ef-9b1f-d7d96142aa1f,36985,3700,428,1644.38,2025-05-07,d53702746035fe396dbff2369fe81d34
f31c7e52-b9d2-461e-b9f9-1ebaf825278b,4bf8a1e7-1791-404e-ad28-00a544af35b9,78264,558,512,2900.61,2025-05-11,7672783b4b468645801135f2a5b4acc2
d1ee0065-664f-4249-93de-2c3217d16d1b,a2c13029-08d9-4e56-b51b-435d065f368e,92700,1025,334,2955.85,2025-05-10,de38bb45202be23ba8e9195881f844fe
66d6bb31-0b77-4c5e-9413-ee02341e3072,c197e47c-f225-45a9-af71-488e6bdc19cd,63240,2118,996,1749.8,2025-05-02,d4689e56b9602dec3892ae7f4c102138
