RedemptionID,CustomerID,PromotionID,RedemptionDate,StoreID,RowHash
47d67418-d24e-41a4-b0a7-404b28b1be30,788d99f0-9972-408f-858c-28268e4d1d93,c981eea8-bc82-471f-9607-b8e0e582bd20,2025-05-11,b0884827-649f-4826-99d5-092fc008b264,0f52adebba90480753a984f307ac3ecb
8c541ad5-3e7d-4a9d-819c-35cdc8780f63,fc6dcd99-4fd3-49f2-aac7-18023820fe39,e5b3ee21-a67b-490c-b90d-7b29c038477f,2025-05-11,bb3a0954-d83c-4e5b-bd58-c4250a26ad2f,1887d829ebbe4d9108109a1f42d7558e
cf21f0ba-c2ba-45d1-bf2c-01bdad94a651,2eb88cd9-93aa-4403-b930-4d0d8ababa21,b1c6e797-d13c-4531-89d5-d397e241390d,2025-04-22,47c0d2d6-1812-49b2-a482-bc0bd6f2a9e6,6bf54eff4dbfc578894604ab2ed92880
40a58031-1beb-4202-9838-80ae829ae36b,653cd13f-483a-49af-9e45-04707ae1508e,361e15a0-28f1-4ad1-b6cf-8089efe3af48,2025-04-11,093eb1fa-4fe5-41c3-89d4-8b5f2a340377,d89fcc65c362b59a73b080d53aef9973
82e7473c-411b-4b05-9ac9-58c2222a11ac,32c5b93f-8271-4c50-a62b-e8f545caaa6f,3894faae-dcc3-4d25-8f8c-abfaa7709cc0,2025-04-18,458ac4b9-4fca-4259-8012-13972a2623aa,417472fbd92c230f4f94e54f99e904ea
684742c6-78aa-4ebd-a63d-e9e53f2dbfbd,dbe6c8e6-7cc4-477d-ab61-f3f2e5dce341,ce48b1d2-d20a-45f5-81c7-339e2d9e8862,2025-03-13,830184b9-4010-44c6-9926-a08e9aed29b8,c679a821f0d903bbeff6afa7f1fef2b8
874021b6-da9f-4e60-a96e-92863329c604,68bdc8a7-ac0a-4ba3-a509-ce917bde451a,fd49a0bd-0a02-45d0-8b68-21fc67609055,2025-05-04,06164421-d941-41b9-b04c-ae749af454eb,69fa1385cd48873e638d8393c0f69d77
1d545fcb-0201-456d-8e73-02e43aca8829,bb8f9480-8fc2-46ac-8f93-942acc115626,e34634b5-7c63-4f94-8ee6-84dafaad9df4,2025-05-06,ff3c70c6-1b3b-4bb8-9202-f3d494c1c4a5,17ee35344221e45a9d59dcf94ab64d33
b26ede94-f316-4fa2-9d5c-d88737d130e6,6b429bc0-656f-47dd-9580-28efbaf20c9b,aa5ef755-111f-4c9c-9ddf-d3fa7b677d91,2025-03-31,af8f8a04-b980-4a2a-9c5c-37970e8dc361,c71bb5254b2e39813984054315e26726
a8007d76-1700-499d-a475-437ef50c1252,a9cda48f-5bc6-47eb-88d3-50606128be2d,52eae385-d66c-4028-9487-a5a14bbb32bc,2025-04-11,e6903e1d-1e5f-49a2-a227-741db594d62f,f9aced4f5d20a28164b8b52d771c25bd
0798ca27-a64b-4fcc-a606-50211e1a362f,19a564d4-ed76-41b2-bf45-d41d8500da78,e5d27604-b4ca-446e-9a86-fb9491507765,2025-04-10,623d601b-cf79-47df-8989-7d7cb9b42f59,9191a5fe64ca668abe212e53e975a651
acded620-c556-428c-85e5-aa0343eaca99,e073b0a4-d2f4-45a1-b8ce-63b5075e168c,1ff06eca-04fd-4575-afa5-08b7b69df1b9,2025-03-24,e032ddb6-04f6-47a5-90e5-f68140962d4e,bf6fa1f6c1616ad720dffd929921f69f
6ac5cf10-9ce5-4aaa-ba90-6a9da2f4ce0f,7ec92f10-c40e-4160-b34b-395017c26b71,50454511-505c-4898-a70e-784ac1452c78,2025-04-15,44f20b1d-8a8b-4c64-94be-29c1042122c7,f46887f8dd32bec9c6fa1054db348e46
2e03ac83-7385-4023-b355-539759053159,fc2265ba-8133-4e60-af32-0b135f4fc3cf,f5de55f6-23e9-474f-99f6-f8be5994af09,2025-03-28,bf91946a-1ff0-4d00-bc6c-a00c72e49f92,6a93540f4b9e874acd96dee2348e9085
a48ae5d2-06c9-4018-af73-1d1230fef5cc,7f191b14-927f-4975-84a6-4139f6dc9dae,5f1fc2b8-f2e3-4e06-96d9-f1398dbca978,2025-05-05,c497212b-f140-4798-8a4a-fff690590af5,49ce4b225f78a6a84bd47e2e5172b412
70630e59-4ea7-40fc-9d75-51e67aeceb08,33a546d5-7808-4799-bc38-8b809d0c5ed7,9e04a4d3-c613-493b-93e4-f3a63f9dd841,2025-04-19,3f860e78-0d6e-452a-b7b2-ed200b054978,ac565fc9468ded9c891ad34e0233071a
be4adf9e-94d6-4689-a8ef-6a91fff661a9,8070fcf1-87d8-48e5-988f-1f369c06cdc1,1e345cc2-c584-4f41-9146-7ad10d9dca61,2025-03-27,26e72a87-dd20-4495-ac2b-4c0144f9fc9c,1e3332ac5dce10215261d9ea54d747e8
21e1a991-316b-47a7-ad5c-466abb45fdf3,9d69cc1c-f492-4f69-938c-91efee85a672,5569513e-2b1c-4ed2-b202-52d5814f15a8,2025-04-09,0bc96bf8-c15b-421c-baca-1e839080a232,9953a5dc8074f377bc9e02465bfabf58
d81a485e-53e6-4c49-9522-25d30682271b,68bdc8a7-ac0a-4ba3-a509-ce917bde451a,62e9fc21-72b0-4f4d-9a8f-0c9d23374fa7,2025-03-20,4c52532d-b5c5-4845-8420-6218f0b41d98,82eeff17d3bfc6ccd21753710fc76a58
eef1b316-f554-4e40-8d86-0e978884ea96,5dcbd063-c98d-4d66-923f-e117989bd15c,b022e125-08f9-476d-a69b-21997fe3f494,2025-04-22,b9a52562-e7a1-47f0-b50e-fc9f4a326f17,fddc53c5dc6e372022b453fb7a6edf38
65ece1b4-66cf-495c-aa9a-d64d3b94117e,2e90cc5a-37c7-450a-ae09-18d7be038c34,08599d37-f1be-4577-b916-ad7231049661,2025-04-14,5b53a8e5-df2e-45b5-8540-0f33354600c4,36e41fe34d1688021f0cd947cd84fb0b
9c74bbd1-9867-478c-908b-9b6ffe557233,9b1ddb4a-54b2-4afc-bce8-defb8d65c1f3,66f850de-b875-4598-9d57-9015fb34ad1c,2025-05-06,c497212b-f140-4798-8a4a-fff690590af5,aece195b554b6698f03bbdf3ea9e33c8
fe46616b-9fed-4952-a7db-b41d7db286b7,5cefce5f-5a44-4f10-8dd7-0c809c4c169e,da611aa1-94cc-4782-ab36-6730f2553001,2025-05-10,a1b128d1-a63a-4445-a100-8252f369454e,2d53e7ea47b0db43b6f373c39f41cb68
1ee76d8b-215b-44d9-a8bf-5f7ff5f54a4c,efd12b55-23e9-4f58-a207-35e1da7e7afe,54fa0591-5463-4a02-9d0c-ab9f83516350,2025-04-20,54d6d80b-2e76-4b60-80ed-a3204e23a4b7,d27619dadaf3b989240cd98897dac947
5bf52013-2673-411a-b006-a2b6e8e60d82,5f2643f1-ca38-40c5-adaa-748da8a72c69,e96a447a-076d-4371-825f-90b05f4ec8d0,2025-03-15,4455fc8a-2871-40be-a37a-c8d9534a085b,e9603654432992533107e9cbf191f99a
