ReturnID,OnlineOrderID,ProductID,ReturnDate,ReasonID,RowHash
4461d2f3-008e-4383-a145-db95b0ec0fc0,fd47b8ce-4057-4f9b-a4e0-8dcf5dd0f3ce,1294,2025-04-02,81e4d915-5355-4893-b418-476edd7dd4d6,a6f36dde908973eb058cebcc7d2cb3cb
066269b1-6c72-41ab-b998-a7c2faada9ce,fd6dbd3d-a82f-4d74-b093-27d3154a581c,3897,2025-04-18,81e4d915-5355-4893-b418-476edd7dd4d6,1e230fe7ab3e2e9cf93db756cc5ec6fb
264b8d8a-76fc-4056-8d1e-525d20ca3bba,d9cf3676-9d1d-4763-b705-c4170f4643e8,1634,2025-03-10,dc33dda7-7a78-4748-b64e-ab9510a27853,bc8f5707bba6a2ff9d89704ed43acd7f
58fe5124-1a3b-4428-a94c-547744b02827,70e2cb05-0d6d-43b7-abdf-c8a65cb5604a,2339,2025-04-09,07fd11fc-3cf6-4657-a819-d0ffd6681561,b7b823ccedc004b60c9088c3079b692e
414341a6-a6da-4f93-bba3-bb160291b169,eb5ef167-ec97-40a5-aba6-160d8a42a18b,733,2025-04-28,8596a775-cb31-4500-8788-d05a7a5b9459,da03cde13ff2f56792c3e927fe0e857e
e2a7780e-389d-4238-9f4e-d8e3440409b9,9b53b33b-da96-4dbd-9890-71f9b521243b,4384,2025-04-13,07fd11fc-3cf6-4657-a819-d0ffd6681561,77788f8a6bf4141b9a6ddbe132b1f6d5
7c4eb4a0-bf0f-445c-86c1-333d7fcb9cf2,7203362c-a00f-43fd-b394-cdccfe1f8f83,1435,2025-04-01,81e4d915-5355-4893-b418-476edd7dd4d6,f2f18526079905dd73c06240df4b4ac3
e4e05d86-021c-4c92-bcf4-42611225c66d,f8fd7d06-4e49-4ebd-aee8-e0cd8f35693e,1441,2025-02-09,07fd11fc-3cf6-4657-a819-d0ffd6681561,e079ffb305f96000966c21c251196bfa
fd682536-da9f-4f05-ad4e-dc91260c8be8,387270d5-1cee-47f9-a59b-d83763acd3c8,3253,2025-04-14,81e4d915-5355-4893-b418-476edd7dd4d6,c3522f965a90560819d8c828ab9dac2c
21f3a8e0-3e14-4fc8-995c-f2fefe09f7ef,f3a656ac-2736-4c0b-9eec-82d24c10b47e,2372,2025-04-29,07fd11fc-3cf6-4657-a819-d0ffd6681561,7dbcd37f15ef0e791e12f87067cb1bd1
36743920-6a12-4dc2-bb7b-d88ff86514b9,585e79fb-b2c6-4221-b4d3-4afd85f2baac,2445,2025-04-03,8596a775-cb31-4500-8788-d05a7a5b9459,2cf7bddaec047dd55e04e9b40953bec6
d6520762-fa4d-426f-99cb-2884771e7993,8c76d73c-6b45-4cfe-8082-22b826553df7,880,2025-03-10,dc33dda7-7a78-4748-b64e-ab9510a27853,e4c3c18e2cde02355168a08a467b0e2d
42f079f9-4a4b-45ae-9cf5-963654c5db2d,fe436954-076a-4f4a-9413-2478c2c36048,3723,2025-05-10,8596a775-cb31-4500-8788-d05a7a5b9459,5dcc95717e3fe1a6316c25731578f6a6
51b755a9-ca66-4de3-8458-37eb7c7c932f,c5d9a876-9974-4d8c-bd38-6973564793c4,4047,2025-04-14,c5c77385-1e3f-4875-a640-4b9d00c4ad1f,24fa6364a1819446cf3553920ef6490b
4618cd33-2606-4366-8c53-e9069445ca47,f40db158-908a-444a-931b-04338931dede,4131,2025-02-19,81e4d915-5355-4893-b418-476edd7dd4d6,d5754f5f50821ffd086cce985e11488c
758a7125-c08d-4773-bffe-ee56096c1b7d,446cfc19-d511-4b7b-b8f5-d60210cdcc4f,1580,2025-05-11,07fd11fc-3cf6-4657-a819-d0ffd6681561,f2cdb9ec951718de794fb2eb71fc1323
