CheckoutID,CustomerID,AbandonmentDate,AbandonmentReason,RowHash
c7a6de46-b340-4d9b-94b9-cd0083bfa901,5f2643f1-ca38-40c5-adaa-748da8a72c69,2025-02-08,Shipping Cost,4ba4cff1e96cba62290477cce417bc8b
ce4ebe3d-81ea-4d36-9984-3709fab7cecb,ee85931e-020f-4408-8af2-2b9bf4edd7b8,2025-03-23,Changed Mind,1ea6b19f0916fc2d2cf58bc82f5f0f4c
d2f7a7d5-4789-4226-86f3-f6330f47a13d,653cd13f-483a-49af-9e45-04707ae1508e,2025-02-05,Payment Issue,667caf0ee3419eff688a9fa68fcff74d
dd8dbbe6-a63e-4e21-abfe-d340c4574ae6,a0d03e66-36a9-4e3a-b061-90884a47209d,2025-02-02,Technical Error,c220eb6023819a9ce71e82e34416f6d8
51837e22-97e8-4d19-b972-038503240744,2c063f55-8e12-40f5-82d1-e02e8211dcaf,2025-02-26,Changed Mind,f9e82d612f93b2bb4d6705c9a17e27c1
ebda5768-e00c-493b-b0ae-13796f306e97,c0e366b0-4820-408e-94df-b7532085e9c5,2025-04-05,Payment Issue,c856b1da80c54d21f7159b1cffe19757
8093eae7-9d6b-42ef-b3b3-36264fb69add,a0d03e66-36a9-4e3a-b061-90884a47209d,2025-02-25,Changed Mind,61a380b480f2a72d2707f3a2977e99b1
ce475873-24ef-4392-8605-65de13e3c6f3,a0d03e66-36a9-4e3a-b061-90884a47209d,2025-02-05,Technical Error,520a55d380f98c70d87cc64b2b7e96a0
899afc90-fc54-44d3-ba8a-bced56de7d33,3046e874-7757-4321-a055-3edea53305ef,2025-02-08,Changed Mind,6509082f513e53236abe73a66c648d4b
f02c8420-d88f-444a-bab4-8ca86e3805fa,5f2643f1-ca38-40c5-adaa-748da8a72c69,2025-04-22,Shipping Cost,a16a3837dfff98e4ed280d98cf19e1d5
84ffec69-45d5-4d3f-a1d9-bf3b4dfb20ae,270a78d4-d980-45c3-bf41-9c12bdda3546,2025-05-05,Payment Issue,0b6a4e04bc52fbc09fffc6ff8c45c551
a5b6b69f-f07b-44fc-ab37-a52a7996f041,5cefce5f-5a44-4f10-8dd7-0c809c4c169e,2025-01-25,Shipping Cost,664883ae51e50cc06689945c824b8b9c
80a6b84c-50f0-4744-b15f-4158cc6e6951,efd12b55-23e9-4f58-a207-35e1da7e7afe,2025-02-01,Changed Mind,e68a66e0e5cb3a32a519ee54b0e00a6a
d6412a9a-3cd5-4315-8ac2-372cc432370b,c8a37272-48fa-44ed-a432-b26ea868a892,2025-03-25,Changed Mind,488022c5c9366611a703c0049c121b5d
