TimesheetID,StaffID,Date,HoursWorked,RowHash
f5071021-f9ca-4600-b9a0-88a02d128c11,d50e077f-0506-45a5-b021-1d15b8a1f811,2025-03-20,6.6,4b50a8be0ca8da90f6eaf1336a25ddbb
002df45d-64ca-4f62-9435-acf681a0e3e3,d50e077f-0506-45a5-b021-1d15b8a1f811,2025-04-23,9.3,5169b9fcfeac04a706023d7348d642aa
0c6bdead-63e2-4976-b800-5ff94589e3b3,d50e077f-0506-45a5-b021-1d15b8a1f811,2025-03-14,8.6,19427a16a82fa984c0be04017295f753
4879d883-60b1-445b-823f-39a522ab062f,899bded8-28c5-41d7-af01-1bbe76e7b301,2025-01-31,5.7,cdc5efaf114f0f6fa4147626e49af424
bb288a76-9946-4624-b693-557ee9c59563,899bded8-28c5-41d7-af01-1bbe76e7b301,2025-02-26,5.0,44e0c7c589c14ece86ce1a40d52bdf87
d6cdd99e-4ab4-4908-8a04-2e761d8d1e38,899bded8-28c5-41d7-af01-1bbe76e7b301,2025-03-27,5.8,e68492318a4208c652a8bdb339feb79e
45e623b1-1369-463c-a139-24001f2f32c8,4567ebc9-806e-431c-9c41-4d509bb456d1,2025-02-22,9.5,db540b7b9bdbe1f3ffc4c686f50c6a77
8f4f92c2-f078-4c6f-9916-902b93f06d38,4567ebc9-806e-431c-9c41-4d509bb456d1,2025-03-18,8.1,e2d2b4966284d370dacda9c9049f5e46
a74f3049-9ab7-45cc-8329-d7f475dc3e09,4567ebc9-806e-431c-9c41-4d509bb456d1,2025-03-26,9.4,083863e27c2752e16e93f4cb20bd54c4
c949768c-282b-4db4-936f-460581088764,09b052e4-4598-40ca-83bf-18ad26ef1367,2025-03-03,6.8,e4b5d52711bcbecb9b68703d47b53436
11f253ea-3ce0-482f-935d-fd179743e601,09b052e4-4598-40ca-83bf-18ad26ef1367,2025-05-10,7.9,636404f3cfaa11c09cbe52ee9cb1e845
a159d663-cb87-4347-8cf8-5cfd0b713dcc,09b052e4-4598-40ca-83bf-18ad26ef1367,2025-02-15,4.5,3887c0894abcc2f8d32ec16eb81183cb
f08a3eee-4e94-4ed8-8dfb-01652d955b23,6e885697-5f45-49a3-9783-4e3926526bec,2025-03-07,7.0,01cf0b904bc1cbafaf9b08018af6dcb2
cfd9b452-01d0-4924-a6ba-de13677e7a17,6e885697-5f45-49a3-9783-4e3926526bec,2025-02-10,5.1,1bf3edab2161fc4c5fed5710706c9701
d04f1603-7da4-45e5-acb2-ae446920bff1,6e885697-5f45-49a3-9783-4e3926526bec,2025-04-19,7.5,c78bd2b7b399760020fd9d52ce97a562
40720869-9121-4a41-b8a5-958f70e10e6c,4f321871-049e-40dd-844b-748737c85703,2025-04-23,9.4,1b15b77a32003a9ef351e3a532cda9af
476de598-d65b-4f0e-9211-7d53fc9fa7c3,4f321871-049e-40dd-844b-748737c85703,2025-03-21,7.3,083ca9ed1c08083803dfc30f827b729c
ce238a21-2b44-4478-8b88-cb4cc0413da2,4f321871-049e-40dd-844b-748737c85703,2025-01-25,6.4,e2f616339d75f93afbd6de1f276465ba
6fb732f0-c43f-43a0-b9a4-2c9f39ec93b6,219f51e7-64cb-44f9-9471-3d5f6fecdcd6,2025-05-04,5.9,3ea7837cb5da7233b0a7690b7687a1a8
c6837a31-0470-426c-8766-3facc6095867,219f51e7-64cb-44f9-9471-3d5f6fecdcd6,2025-04-22,4.1,3291f4c19f55384eac947f34d88a18c8
7f0239e0-caa8-4c85-8cb4-06473d818424,219f51e7-64cb-44f9-9471-3d5f6fecdcd6,2025-04-18,6.7,b6ee673b4808d6775551cac2e1013655
81b622eb-500c-4cf0-90c1-862d7bb98b0e,090520d3-744f-483c-b976-6836d1849757,2025-03-07,9.4,d6c8dd845e6b4cc47c72669e7636290b
85c16a51-4733-4d07-9c76-d98393574922,090520d3-744f-483c-b976-6836d1849757,2025-02-18,9.4,5a10a0de8cdbde06e53b3211df5935e0
10c51835-f840-4d36-ab3b-891c85bef965,090520d3-744f-483c-b976-6836d1849757,2025-01-30,9.3,9ff67a83d32a7256bf1e82a3a478d69d
d92b59ef-972a-46fd-ad8b-25da6cb58cf9,e2175171-b075-4327-a2a6-e14a4d3a0b26,2025-02-26,4.5,994dcffad213523e6fe8ab66c96ca38d
6b6c0766-d37e-4012-a50f-f8180cdabeb1,e2175171-b075-4327-a2a6-e14a4d3a0b26,2025-02-09,5.9,93297d1dda27085e67230233cf1b07a9
7d1f3a18-8a12-4403-8807-9993e6f850e9,e2175171-b075-4327-a2a6-e14a4d3a0b26,2025-03-17,7.9,43ca787798567ecd2e0ea2bb2caa62e4
c1869cfb-29bb-44b3-b23f-5c1754c179d0,99435430-46e2-43c6-9d43-02e07a25c418,2025-04-06,8.3,1594f900a30586e6d3de5a90dc7d03ff
ffdd36e6-0549-43be-ad0d-07ae9af714b6,99435430-46e2-43c6-9d43-02e07a25c418,2025-04-26,5.0,86c2061fe2491cde7ccb29ae2dfed6c4
6ec390bc-6ffa-4fa9-a9b9-d348c4e2936b,99435430-46e2-43c6-9d43-02e07a25c418,2025-01-30,8.4,2d921ba714fedaa8e12317a84f9a84ee
ade272e3-e834-4fa3-bbc6-72d92063cff3,543e99df-7453-4749-acc4-44af177890c6,2025-02-27,4.5,48c770cedd151910043ace0ddd23f011
bff72121-e75d-4ef3-9822-fe331ea69a0b,543e99df-7453-4749-acc4-44af177890c6,2025-01-21,8.2,1efb781bef4cc6a9c190237eaa2d29f9
340a498e-f019-4619-927c-072f97543b51,543e99df-7453-4749-acc4-44af177890c6,2025-03-07,7.8,36bfab3b7f92b38d4d8686625a3e79b4
927288e0-2b51-4742-9491-2db74c5e9fae,1c6ad53f-8b9c-4f88-bac5-74177b9e0518,2025-04-03,4.5,e2a6b1198ae31907eef06f76e4355b57
53588ffc-1e37-4f40-8c43-19317e3eecf9,1c6ad53f-8b9c-4f88-bac5-74177b9e0518,2025-01-16,8.2,2a8634a3829fc20924d873f53a674e2f
9afd5f21-1854-4678-b438-a2eb9e21e87b,1c6ad53f-8b9c-4f88-bac5-74177b9e0518,2025-01-31,8.4,0a0ee3da0438691054fc7970c7943d9b
185082a0-285a-4b8a-beea-fba466389581,b98c5fb1-0676-4232-ad9a-4615f8196dcb,2025-05-05,9.9,c541965ece5808cc923e3ae9ffe7b944
d1253333-d211-41f9-9609-dbd57f71488f,b98c5fb1-0676-4232-ad9a-4615f8196dcb,2025-03-30,7.7,59c98a0f0421f771efc994c36adea4ed
0a9c09fa-d2e0-4447-b7cc-5374f0186547,b98c5fb1-0676-4232-ad9a-4615f8196dcb,2025-05-06,5.0,a8760b6685836220252171e8d2e66ef7
f8c4fd18-f8c4-4993-bb50-3ace1521d16b,71f861bd-61f2-48f8-a481-9acefda644b9,2025-03-23,7.3,2e8f401a91f5b0b959c43c2b4a4d4739
ca8d22c4-020f-4b40-b046-6510957d2940,71f861bd-61f2-48f8-a481-9acefda644b9,2025-02-08,4.3,47e0a62f3e05f1d20120f3b1db6b53d8
63929084-d801-4751-abf2-a36db5007149,71f861bd-61f2-48f8-a481-9acefda644b9,2025-05-02,5.0,ce3f50ade917f665da416c529da09f2f
84fe01eb-f182-4db2-a28d-094da04a8fd9,8e800837-37e9-4ade-91b5-3c53adbd52f8,2025-04-17,6.0,fb4de728b4d789c1993baedb70d74b65
e6b5a18c-3372-4a38-bb91-07d7e6add71b,8e800837-37e9-4ade-91b5-3c53adbd52f8,2025-02-13,9.2,7497acfa4dae5c932a0592dbdd279b5f
8cc33348-2d65-449f-b650-fbc283685845,8e800837-37e9-4ade-91b5-3c53adbd52f8,2025-03-04,9.2,b17a0bc60dee5ea9dc1bf989595134d7
98ab451a-483c-4e7e-874f-7c936286d215,f2547997-ded2-49d6-803e-7deb9fb62f47,2025-02-22,5.0,6c4bc9b1058dd25bc1bf2f0f06c277d8
9c425318-2514-4582-8c16-7cc1d06aa4e2,f2547997-ded2-49d6-803e-7deb9fb62f47,2025-02-11,4.9,d52b1465ba3b6ea9900d94c6d0f7e213
8d25e7df-6d32-4432-94eb-5621b64b5cab,f2547997-ded2-49d6-803e-7deb9fb62f47,2025-05-09,8.6,630e00405f90b33ec81f3122926040b4
115b20a2-1cd6-445b-adcb-f8d0c5bd6990,77f4fb81-443d-4354-84ef-f2959923b54a,2025-02-25,4.3,17629a5e4bac9002072799f87ea5814e
5ae8b0a3-c844-4c7d-9236-473d9a688c89,77f4fb81-443d-4354-84ef-f2959923b54a,2025-03-21,5.8,fb854cb2d8fd0528cf8dc8f89b3b3adb
5f890008-7ad9-4973-989b-53aeb51c9de9,77f4fb81-443d-4354-84ef-f2959923b54a,2025-04-17,8.4,db1c2f1e23c9a91d8f72800e2b94432d
37013ebd-e7a0-4f2a-9232-070daa0c99b6,2647be4c-09f1-4171-90cc-6c8c2e6cad19,2025-03-05,9.8,2fdacde52cc240e43311b581f4fff13a
04429b7d-95de-46c2-9abe-0fe201b16020,2647be4c-09f1-4171-90cc-6c8c2e6cad19,2025-04-08,5.7,2805aa0dbb9af8cfbccfd94f119a055c
16977f13-0e25-4ee8-84c8-cf2f5df09da8,2647be4c-09f1-4171-90cc-6c8c2e6cad19,2025-03-25,5.1,292fc04e609f758b50b73fe9393a10b4
